profile,seed,L,snr_db,sample,method,nmse_db,newton_updates,wall_ms
A,3101,4,0.0,0,grid,-3.4257664594566246,0,0.33
A,3101,4,0.0,0,deterministic,-6.118117969962217,0,1.61
A,3101,4,0.0,0,controller,-5.6883210198678436,0,2.31
A,3101,4,0.0,0,nomp2d,-9.305433710204376,48,11.23
A,3101,4,0.0,1,grid,-4.482300776713152,0,0.11
A,3101,4,0.0,1,deterministic,-4.756366355140976,0,1.22
A,3101,4,0.0,1,controller,-5.0248133974468505,0,1.61
A,3101,4,0.0,1,nomp2d,-9.21350522375269,43,10.44
A,3101,4,0.0,2,grid,-3.912253868709412,0,0.11
A,3101,4,0.0,2,deterministic,-5.760458225723095,0,1.22
A,3101,4,0.0,2,controller,-5.7779150419804335,0,1.6
A,3101,4,0.0,2,nomp2d,-6.693050649097731,45,11.16
A,3101,4,0.0,3,grid,-4.23450381601673,0,0.12
A,3101,4,0.0,3,deterministic,-4.257229943320217,0,1.21
A,3101,4,0.0,3,controller,-4.7628732515020955,0,1.62
A,3101,4,0.0,3,nomp2d,-5.613414740126182,48,9.97
A,3101,4,0.0,4,grid,-3.608992618615931,0,0.11
A,3101,4,0.0,4,deterministic,-5.295511913194964,0,1.19
A,3101,4,0.0,4,controller,-5.384754143871343,0,1.57
A,3101,4,0.0,4,nomp2d,-11.628202040062433,44,9.74
A,3101,4,0.0,5,grid,-5.132282048908099,0,0.11
A,3101,4,0.0,5,deterministic,-5.478649373518971,0,1.18
A,3101,4,0.0,5,controller,-5.963949210265849,0,1.51
A,3101,4,0.0,5,nomp2d,-9.069847095673376,47,9.82
A,3101,4,10.0,0,grid,-3.5075764287012934,0,0.25
A,3101,4,10.0,0,deterministic,-6.86772583150845,0,1.42
A,3101,4,10.0,0,controller,-7.363207982899004,0,1.86
A,3101,4,10.0,0,nomp2d,-9.905226574530761,47,10.23
A,3101,4,10.0,1,grid,-5.1573446224867405,0,0.1
A,3101,4,10.0,1,deterministic,-6.554348008053855,0,1.19
A,3101,4,10.0,1,controller,-6.891643613962439,0,1.54
A,3101,4,10.0,1,nomp2d,-8.091961897834992,39,11.05
A,3101,4,10.0,2,grid,-4.09144205190469,0,0.1
