snr_db,l_value,n_users,n_bs,mean_grid_channel_nmse_db,mean_source_alpha_channel_nmse_db,mean_source_alpha_gain_vs_grid_db,mean_bounded_refine_channel_nmse_db,mean_bounded_gain_vs_grid_db,mean_oracle_alpha_channel_nmse_db,mean_oracle_alpha_gain_vs_grid_db,mean_source_alpha_gap_vs_oracle_db,mean_oracle_alpha,mean_support_recall,mean_dominant_energy_recall,mean_delay_bin_rmse,mean_tx_bin_rmse
0.0,4.0,100.0,2.0,-8.518398337912268,-9.971380135606566,1.452981797694294,-9.526413059895733,1.00801472198346,-10.190345481478028,1.671947143565759,0.21896534587146557,0.6559999999999999,0.6225,0.9356291175340635,9.423796697897036,0.3298528137423857
0.0,8.0,100.0,2.0,-6.1840890437719205,-6.500536520147546,0.31644747637562465,-6.355135534438095,0.1710464906661752,-6.706120335974443,0.522031292202523,0.20558381582689825,0.6580000000000001,0.41625,0.9445096225826036,13.377617815550579,0.431166513076666
0.0,16.0,100.0,2.0,-4.089412529177658,-3.956574928487373,-0.13283760069028522,-3.907512783143282,-0.18189974603437584,-4.2230881776106335,0.13367564843297464,0.2665132491232598,0.4720000000000001,0.31875,0.9563395563755219,13.651025527277065,0.489290986230107
10.0,4.0,100.0,2.0,-13.916323885537912,-21.215036121806392,7.298712236268482,-19.962670822671534,6.046346937133618,-22.23761354760808,8.321289662070168,1.0225774258016884,0.738,0.9175,0.9601513766443456,0.34606237238868703,0.1
10.0,8.0,100.0,2.0,-15.036043033548717,-19.401290610813298,4.3652475772645865,-19.24105455032973,4.205011516781011,-20.00480776627805,4.968764732729332,0.6035171554647453,0.8919999999999998,0.79875,0.9771347452600733,4.187721568363725,0.22384518585327584
10.0,16.0,100.0,2.0,-13.757834000389437,-15.332424764114146,1.574590763724715,-15.315868888265927,1.558034887876491,-15.665752991290615,1.9079189909011802,0.333328227176465,0.9420000000000001,0.591875,0.9831471424862279,9.312396657369558,0.419530139182419
20.0,4.0,100.0,2.0,-14.446655927163825,-23.996487394197473,9.549831467033647,-21.83660068198843,7.389944754824608,-25.630746551759643,11.18409062459582,1.6342591575621723,0.688,0.97,0.9617273802956534,0.08485281374238571,0.05
20.0,8.0,100.0,2.0,-17.378264553235248,-28.38045660419396,11.00219205095871,-28.298315465850237,10.920050912614993,-29.66522375115521,12.286959197919971,1.2847671469612572,0.8799999999999997,0.9425,0.9810962213183251,0.3350740440872764,0.07424621202458749
20.0,16.0,100.0,2.0,-19.60874393953587,-27.6312223222734,8.022478382737532,-27.84799776449751,8.23925382496164,-28.18156513046032,8.572821190924452,0.5503428081869236,1.048,0.868125,0.9900468390888991,1.6319160109837316,0.20645049943924462
30.0,4.0,100.0,2.0,-14.503479966061931,-24.827762718193465,10.324282752131534,-22.57789748632436,8.074417520262426,-26.709397612717076,12.20591764665515,1.8816348945236145,0.704,0.995,0.9618378559508077,0.01414213562373095,0.01
30.0,8.0,100.0,2.0,-17.61509660777757,-31.813939039578806,14.198842431801236,-32.24319405932861,14.62809745155104,-34.47886458847337,16.8637679806958,2.6649255488945647,0.9239999999999998,0.98625,0.9814022879225764,0.07729986434463366,0.031819805153394644
30.0,16.0,100.0,2.0,-20.634638515821102,-35.20604065616542,14.571402140344315,-36.30120987319634,15.666571357375233,-37.09193789439357,16.457299378572458,1.8858972382281438,1.0659999999999998,0.970625,0.9908205683726046,0.30279866870158967,0.0475
