snr_db,l_value,n_users,n_tx,mean_grid_channel_nmse_db,mean_source_alpha_channel_nmse_db,mean_source_alpha_gain_vs_grid_db,mean_bounded_refine_channel_nmse_db,mean_bounded_gain_vs_grid_db,mean_oracle_alpha_channel_nmse_db,mean_oracle_alpha_gain_vs_grid_db,mean_source_alpha_gap_vs_oracle_db,mean_oracle_alpha,mean_support_recall,mean_dominant_energy_recall,mean_delay_bin_rmse,mean_tx_bin_rmse
0.0,4.0,16.0,8.0,-2.3373747462308794,-3.2617879300811206,0.9244131838502408,-3.2508310580952093,0.9134563118643297,-3.445639125874002,1.1082643796431222,0.18385119579288134,0.7625,0.828125,0.3979060764484578,0.21875,0.603848772594928
0.0,8.0,16.0,8.0,-3.853475819663675,-5.05570749077783,1.202231671114155,-5.211904921564423,1.3584291019007475,-5.357532906775161,1.504057087111486,0.3018254159973312,0.8374999999999999,0.8203125,0.5741822487251977,0.3036585767588998,0.6528638741736963
0.0,16.0,16.0,8.0,-5.473952659453129,-6.777321669002687,1.3033690095495565,-6.776505592963584,1.302552933510455,-7.0090788166416615,1.535126157188532,0.23175714763897542,0.7375,0.80859375,0.7443918784335903,1.1707409187828492,0.5586698508833542
10.0,4.0,16.0,8.0,-2.483467498763906,-3.547177059916597,1.0637095611526914,-3.660201520004362,1.1767340212404567,-3.733718390954645,1.2502508921907396,0.18654133103804826,0.8375,0.96875,0.41034167025178836,0.0625,0.08838834764831845
10.0,8.0,16.0,8.0,-4.155683155812241,-5.453424119865243,1.297740964053002,-5.390166584741733,1.2344834289294917,-5.589344536273645,1.4336613804614025,0.13592041640840055,0.7750000000000001,0.9453125,0.5874992036728259,0.18592960838455727,0.2530003699452439
10.0,16.0,16.0,8.0,-6.680627504128734,-8.652225348597774,1.9715978444690405,-8.600059297581122,1.9194317934523881,-8.884413058113754,2.2037855539850213,0.23218770951598078,0.775,0.953125,0.7699164924337578,0.2875768491763698,0.2403489429287775
20.0,4.0,16.0,8.0,-2.4892307946972076,-3.5990443942396197,1.109813599542412,-3.7100065435910325,1.2207757488938256,-3.7808459777985424,1.2916151831013343,0.18180158355892234,0.7875,0.96875,0.4103287651941,0.03125,0.07544417382415922
20.0,8.0,16.0,8.0,-4.192869707855664,-5.504189171176794,1.3113194633211296,-5.4425179159288435,1.24964820807318,-5.620528762162429,1.427659054306766,0.11633959098563634,0.7750000000000001,0.984375,0.5897741355851295,0.05334708691207961,0.11048543456039805
20.0,16.0,16.0,8.0,-6.7693278186753645,-8.731430363959955,1.9621025452845893,-8.606920118076342,1.837592299400977,-8.926126113581162,2.1567982949057978,0.19469574962120895,0.7875,0.98046875,0.7709992102171846,0.06897208691207961,0.12450185601669791
30.0,4.0,16.0,8.0,-2.4910220099232943,-3.5778672168606445,1.0868452069373509,-3.7127428818436954,1.2217208719204014,-3.7732028823179706,1.2821808723946766,0.19533566545732572,0.8625,1.0,0.41055460039976743,0.0,0.0
30.0,8.0,16.0,8.0,-4.196582319991493,-5.497644647252732,1.3010623272612385,-5.436685622999048,1.2401033030075543,-5.629879312808092,1.433296992816599,0.13223466555536068,0.7625000000000001,1.0,0.5898657502333742,0.0,0.0
30.0,16.0,16.0,8.0,-6.778740156962842,-8.809957371381294,2.0312172144184517,-8.649017434798417,1.8702772778355747,-8.939494540811157,2.160754383848317,0.12953716942986532,0.75,0.9921875,0.7711689321108621,0.04419417382415922,0.06533657109925087
