snr_db,l_value,n_users,n_tx,mean_grid_channel_nmse_db,mean_source_alpha_channel_nmse_db,mean_source_alpha_gain_vs_grid_db,mean_bounded_refine_channel_nmse_db,mean_bounded_gain_vs_grid_db,mean_oracle_alpha_channel_nmse_db,mean_oracle_alpha_gain_vs_grid_db,mean_source_alpha_gap_vs_oracle_db,mean_oracle_alpha,mean_support_recall,mean_dominant_energy_recall,mean_delay_bin_rmse,mean_tx_bin_rmse
0.0,4.0,100.0,8.0,-2.4976133095898607,-3.4559576063230777,0.9583442967332174,-3.4977285333755943,1.0001152237857338,-3.632037480641361,1.1344241710515004,0.17607987431828284,0.8359999999999999,0.8475,0.4271100661056046,0.19604773508673784,0.42652823898090864
0.0,8.0,100.0,8.0,-4.2489768268023544,-5.269326822918327,1.0203499961159725,-5.201819669238603,0.952842842436248,-5.437214176307804,1.1882373495054495,0.16788735338947675,0.7040000000000001,0.85125,0.6142226898520492,0.46941508471239624,0.5448651135193583
0.0,16.0,100.0,8.0,-5.986849875841042,-7.188052219727918,1.2012023438868769,-7.033123915402996,1.046274039561953,-7.341767432218449,1.3549175563774065,0.15371521249052963,0.6520000000000001,0.8275,0.7786367569266369,2.055510361530973,0.5181572263474243
10.0,4.0,100.0,8.0,-2.6136225319930575,-3.6965867609011007,1.0829642289080432,-3.7893385828162804,1.1757160508232223,-3.9016897696538653,1.2880672376608076,0.2051030087527642,0.8420000000000001,0.965,0.4354119092714548,0.015,0.11117409372861103
10.0,8.0,100.0,8.0,-4.567434798161201,-5.754259021537576,1.186824223376375,-5.720476801707662,1.1530420035464604,-5.938555446745851,1.37112064858465,0.18429642520827508,0.7299999999999999,0.93375,0.6258432407107037,0.19685416744111048,0.2793197327761687
10.0,16.0,100.0,8.0,-7.317426675413613,-8.800301287370583,1.4828746119569707,-8.54092056608909,1.2234938906754746,-8.994110379492476,1.6766837040788616,0.19380909212189099,0.66,0.940625,0.8001760951940936,0.28493526387107165,0.32443181058500214
20.0,4.0,100.0,8.0,-2.624336246376879,-3.7055692892859664,1.0812330429090873,-3.783148224209742,1.1588119778328627,-3.901099262225407,1.2767630158485281,0.19552997293944088,0.8220000000000001,0.975,0.4359408364726641,0.02,0.07754727308110432
20.0,8.0,100.0,8.0,-4.610489469404233,-5.838872425598867,1.2283829561946336,-5.790633856196584,1.18014438679235,-6.02618994185708,1.4157004724528464,0.18731751625821302,0.73,0.97625,0.6279886023276917,0.05679656711568106,0.10876951513341254
20.0,16.0,100.0,8.0,-7.4489158736020435,-9.04462831618675,1.5957124425847065,-8.750206919031466,1.3012910454294242,-9.22198684141298,1.77307096781094,0.17735852522623333,0.632,0.980625,0.8023200194695036,0.10282730884932095,0.1278977881849949
30.0,4.0,100.0,8.0,-2.625807800741419,-3.7055527371302146,1.0797449363887954,-3.787537608896989,1.161729808155571,-3.9052598879304043,1.2794520871889856,0.19970715080018978,0.828,0.9925,0.4360866862510154,0.012071067811865475,0.034409096442821904
30.0,8.0,100.0,8.0,-4.61532295542193,-5.83409274045241,1.218769785030479,-5.7943533699024785,1.1790304144805475,-6.029949422969944,1.414626467548012,0.19585668251753247,0.708,0.9975,0.6282097612095268,0.005,0.016565948188265334
30.0,16.0,100.0,8.0,-7.461661562324476,-9.025764491745436,1.564102929420961,-8.728856028440521,1.2671944661160446,-9.201767295323094,1.7401057329986176,0.17600280357765605,0.636,0.994375,0.8025432089937954,0.028623724356957946,0.03536566092485493
