dataset_key,dataset,paper_role,seed,n_users,run_id,transfer_proxy_classification,source_alpha,mean_grid_channel_nmse_db_all,mean_source_alpha_channel_nmse_db_all,mean_source_alpha_gain_vs_grid_db,min_source_alpha_gain_vs_grid_db,mean_source_alpha_gap_vs_oracle_db,min_mean_support_recall,mean_dominant_energy_recall_all,elapsed_seconds,manifest_path
o1_60,DeepMIMO O1_60,E2 ray-traced scalar source-alpha transfer robustness,20260626,100,deepmimo_o1_60_g2_dev_seed_20260626_n100,weak,0.6419195571509573,-4.431445626626117,-5.783901583633138,1.3524559570070211,0.8668287673999238,0.19212116386159708,0.836875,0.5977851779420716,16.665846500000043,05_results\deepmimo_o1_60_source_alpha_n100_seed_20260626\run_manifest.json
o1_60,DeepMIMO O1_60,E2 ray-traced scalar source-alpha transfer robustness,20260627,100,deepmimo_o1_60_g2_dev_seed_20260627_n100,weak,0.6419195571509573,-4.602870710157156,-5.935007294954801,1.3321365847976436,0.8554463670332608,0.2242283608724149,0.825,0.6132947900018662,13.518815899999936,05_results\deepmimo_o1_60_source_alpha_n100_seed_20260627\run_manifest.json
o1_60,DeepMIMO O1_60,E2 ray-traced scalar source-alpha transfer robustness,20260628,100,deepmimo_o1_60_g2_dev_seed_20260628_n100,weak,0.6419195571509573,-4.585935632114118,-5.947671876682695,1.3617362445685786,0.9790716038383315,0.22176021316158986,0.8375,0.6079885141856173,13.871910399999251,05_results\deepmimo_o1_60_source_alpha_n100_seed_20260628\run_manifest.json
o1_60,DeepMIMO O1_60,E2 ray-traced scalar source-alpha transfer robustness,20260629,100,deepmimo_o1_60_g2_dev_seed_20260629_n100,weak,0.6419195571509573,-4.773950557317074,-6.1198511575215155,1.3459006002044418,0.9541242110257321,0.23737339934782534,0.835,0.624378071655193,14.05948350000017,05_results\deepmimo_o1_60_source_alpha_n100_seed_20260629\run_manifest.json
o1_60,DeepMIMO O1_60,E2 ray-traced scalar source-alpha transfer robustness,20260630,100,deepmimo_o1_60_g2_dev_seed_20260630_n100,weak,0.6419195571509573,-4.718204827139342,-5.943246976598186,1.2250421494588433,0.9583442967332174,0.18438863480004042,0.8275,0.617874156065395,14.075237500000185,05_results\deepmimo_o1_60_source_alpha_n100_seed_20260630\run_manifest.json
i3_60,DeepMIMO I3_60,E3 indoor cross-scenario scalar source-alpha transfer robustness,20260626,100,deepmimo_i3_60_crossdomain_dev_seed_20260626_n100,partial,0.6419195571509573,-13.952331178126032,-20.362055473530738,6.409724295404705,-0.1851696820149028,1.0647325273667467,0.30875,0.9706535081298787,10.263864300000023,05_results\deepmimo_i3_60_source_alpha_n100_seed_20260626\run_manifest.json
i3_60,DeepMIMO I3_60,E3 indoor cross-scenario scalar source-alpha transfer robustness,20260627,100,deepmimo_i3_60_crossdomain_dev_seed_20260627_n100,partial,0.6419195571509573,-14.042208000367951,-20.763898665890288,6.721690665522332,-0.1714611018836908,0.9401821869598485,0.316875,0.9711897526254686,10.620268800000304,05_results\deepmimo_i3_60_source_alpha_n100_seed_20260627\run_manifest.json
i3_60,DeepMIMO I3_60,E3 indoor cross-scenario scalar source-alpha transfer robustness,20260628,100,deepmimo_i3_60_crossdomain_dev_seed_20260628_n100,partial,0.6419195571509573,-14.008271408673165,-20.86270171302689,6.854430304353724,-0.1972440651084269,0.9547338598492817,0.311875,0.9706802159203045,11.140094600000339,05_results\deepmimo_i3_60_source_alpha_n100_seed_20260628\run_manifest.json
i3_60,DeepMIMO I3_60,E3 indoor cross-scenario scalar source-alpha transfer robustness,20260629,100,deepmimo_i3_60_crossdomain_dev_seed_20260629_n100,partial,0.6419195571509573,-13.807415028327789,-20.686095984631486,6.8786809563037,-0.13283760069028522,1.0460260011350997,0.31875,0.9686535594859752,10.402519700000084,05_results\deepmimo_i3_60_source_alpha_n100_seed_20260629\run_manifest.json
i3_60,DeepMIMO I3_60,E3 indoor cross-scenario scalar source-alpha transfer robustness,20260630,100,deepmimo_i3_60_crossdomain_dev_seed_20260630_n100,partial,0.6419195571509573,-14.094111990792284,-20.73674129129839,6.642629300506108,-0.24115118541562042,0.9806468629043003,0.30625,0.9716931325613042,10.527241900000263,05_results\deepmimo_i3_60_source_alpha_n100_seed_20260630\run_manifest.json
