method,snr_db,n_targets,sample_count,mean_measurement_nmse_db,mean_normalized_joint_bin_rmse,mean_matched_fraction_within_half_bin,median_wall_clock_ms,failure_rate
complex_parafac_als_10_sweeps,0.0,2,100,-27.812930334566435,0.043865203561280264,0.89,22.048550003091805,0.0
complex_parafac_als_10_sweeps,0.0,4,100,-9.057774570209663,0.174148024176781,0.5,33.83219999523135,0.0
complex_parafac_als_10_sweeps,0.0,8,100,-3.2972467660750118,0.21952837815416654,0.31,62.317000003531575,0.0
complex_parafac_als_10_sweeps,10.0,2,100,-36.82856394605099,0.03916911382074766,0.87,21.913750002568122,0.0
complex_parafac_als_10_sweeps,10.0,4,100,-8.011453578395713,0.18163405044148997,0.4175,32.28999999555526,0.0
complex_parafac_als_10_sweeps,10.0,8,100,-2.843047380201327,0.2172484622952508,0.3025,62.38149999262532,0.0
complex_parafac_als_10_sweeps,20.0,2,100,-46.767849408808026,0.02641226395183233,0.9,20.499849997577257,0.0
complex_parafac_als_10_sweeps,20.0,4,100,-8.834245914999133,0.20133891347488525,0.385,31.700999999884516,0.0
complex_parafac_als_10_sweeps,20.0,8,100,-2.4722532851285415,0.2285485472121617,0.2625,59.85489999875426,0.0
complex_parafac_als_10_sweeps,30.0,2,100,-47.42465897295279,0.0339668186155197,0.815,20.67640000313986,0.0
complex_parafac_als_10_sweeps,30.0,4,100,-6.5913307596873425,0.20371673047209146,0.3575,32.23499999876367,0.0
complex_parafac_als_10_sweeps,30.0,8,100,-2.318626894557537,0.2241228959573899,0.27625,59.52205000357935,0.0
