snr_db,axis,rmse,sqrt_crlb_mean,ratio,n_trials
10,angle,0.0004711421,0.00048158067,0.9783,200
10,delay,0.0004824868,0.0004825093,1.0000,200
10,doppler,0.00047269223,0.00048180128,0.9811,200
15,angle,0.00026569872,0.00027081271,0.9811,200
15,delay,0.00028759101,0.00027133492,1.0599,200
15,doppler,0.0002818153,0.00027093677,1.0402,200
20,angle,0.00015029811,0.00015228918,0.9869,200
20,delay,0.0001540367,0.00015258284,1.0095,200
20,doppler,0.00016081542,0.00015235894,1.0555,200
25,angle,8.9021092e-05,8.5638499e-05,1.0395,200
25,delay,9.0432187e-05,8.5803634e-05,1.0539,200
25,doppler,9.2067714e-05,8.567773e-05,1.0746,200
30,angle,4.8575518e-05,4.8158067e-05,1.0087,200
30,delay,4.974206e-05,4.825093e-05,1.0309,200
30,doppler,5.9411571e-05,4.8180128e-05,1.2331,200
35,angle,3.4974608e-05,2.7081271e-05,1.2915,200
35,delay,3.6858438e-05,2.7133492e-05,1.3584,200
35,doppler,3.390192e-05,2.7093677e-05,1.2513,200
40,angle,2.6238351e-05,1.5228918e-05,1.7229,200
40,delay,2.642593e-05,1.5258284e-05,1.7319,200
40,doppler,2.7893384e-05,1.5235894e-05,1.8308,200
