domain,W,mean,std,count,ci95
cdl2d,6,7.995729900000001,2.8533843088280624,20,1.250550810972277
cdl2d,8,1.5588811,1.025204112761423,20,0.4493155130415927
cdl2d,10,0.1374553,0.1403771953773494,20,0.06152301846548642
cdl2d,12,0.00114095,0.027563388454662673,20,0.012080187613872287
cdl2d,14,-0.007813450000000001,0.02142438904238517,20,0.009389652493934272
cdl2d,16,-0.007104399999999999,0.020116606076624983,20,0.008816491338128086
cdl2d,18,-0.0074681,0.020304113863425493,20,0.008898670249016995
local3d,6,12.47671165,2.0578518399696692,20,0.901893333951859
local3d,8,12.47671165,2.0578518399696692,20,0.901893333951859
local3d,10,8.3296292,2.63292014750324,20,1.1539281321126194
local3d,12,1.7865783999999998,1.4329951018023828,20,0.6280377939746544
local3d,14,0.1546837,0.18489002892134784,20,0.08103162791388703
local3d,16,0.0105619,0.015009437967316991,20,0.006578176225401463
local3d,18,-0.0007393000000000001,0.009243824602061867,20,0.004051284755729874
