domain,scene,W,F,nmse_fxp_db,nmse_float_kernel_db,nmse_ls_db,delta_vs_float_db
local3d,1,6,4,0.000000,-12.513569,-12.515793,12.513569
local3d,1,8,6,0.000000,-12.513569,-12.515793,12.513569
local3d,1,10,8,-4.392383,-12.513569,-12.515793,8.121186
local3d,1,12,10,-11.583742,-12.513569,-12.515793,0.929827
local3d,1,14,12,-12.409720,-12.513569,-12.515793,0.103849
local3d,1,16,14,-12.511896,-12.513569,-12.515793,0.001673
local3d,1,18,16,-12.516177,-12.513569,-12.515793,-0.002608
local3d,2,6,4,0.000000,-14.195861,-14.195861,14.195861
local3d,2,8,6,0.000000,-14.195861,-14.195861,14.195861
local3d,2,10,8,-6.096999,-14.195861,-14.195861,8.098862
local3d,2,12,10,-13.128500,-14.195861,-14.195861,1.067361
local3d,2,14,12,-14.064261,-14.195861,-14.195861,0.131600
local3d,2,16,14,-14.190147,-14.195861,-14.195861,0.005714
local3d,2,18,16,-14.196292,-14.195861,-14.195861,-0.000431
local3d,3,6,4,0.000000,-13.017137,-13.724810,13.017137
local3d,3,8,6,0.000000,-13.017137,-13.724810,13.017137
local3d,3,10,8,-4.149723,-13.017137,-13.724810,8.867414
local3d,3,12,10,-11.051236,-13.017137,-13.724810,1.965902
local3d,3,14,12,-12.759354,-13.017137,-13.724810,0.257783
local3d,3,16,14,-13.006958,-13.017137,-13.724810,0.010180
local3d,3,18,16,-13.019904,-13.017137,-13.724810,-0.002767
local3d,4,6,4,0.000000,-10.074888,-10.864357,10.074888
local3d,4,8,6,0.000000,-10.074888,-10.864357,10.074888
local3d,4,10,8,-3.163208,-10.074888,-10.864357,6.911679
local3d,4,12,10,-9.526743,-10.074888,-10.864357,0.548145
local3d,4,14,12,-9.992223,-10.074888,-10.864357,0.082665
local3d,4,16,14,-10.079709,-10.074888,-10.864357,-0.004821
local3d,4,18,16,-10.071128,-10.074888,-10.864357,0.003760
local3d,5,6,4,0.000000,-12.859512,-12.859508,12.859512
local3d,5,8,6,0.000000,-12.859512,-12.859508,12.859512
local3d,5,10,8,0.000000,-12.859512,-12.859508,12.859512
local3d,5,12,10,-6.570200,-12.859512,-12.859508,6.289312
local3d,5,14,12,-12.047482,-12.859512,-12.859508,0.812030
local3d,5,16,14,-12.802675,-12.859512,-12.859508,0.056837
local3d,5,18,16,-12.852928,-12.859512,-12.859508,0.006584
local3d,6,6,4,0.000000,-8.923806,-9.101364,8.923806
local3d,6,8,6,0.000000,-8.923806,-9.101364,8.923806
local3d,6,10,8,-3.496209,-8.923806,-9.101364,5.427597
local3d,6,12,10,-8.171840,-8.923806,-9.101364,0.751965
local3d,6,14,12,-8.875739,-8.923806,-9.101364,0.048067
local3d,6,16,14,-8.916623,-8.923806,-9.101364,0.007183
local3d,6,18,16,-8.923065,-8.923806,-9.101364,0.000741
local3d,7,6,4,0.000000,-14.033833,-14.260301,14.033833
local3d,7,8,6,0.000000,-14.033833,-14.260301,14.033833
local3d,7,10,8,-4.985478,-14.033833,-14.260301,9.048355
local3d,7,12,10,-11.416995,-14.033833,-14.260301,2.616838
local3d,7,14,12,-13.896779,-14.033833,-14.260301,0.137054
local3d,7,16,14,-14.017689,-14.033833,-14.260301,0.016144
local3d,7,18,16,-14.022517,-14.033833,-14.260301,0.011317
local3d,8,6,4,0.000000,-11.800727,-13.599359,11.800727
local3d,8,8,6,0.000000,-11.800727,-13.599359,11.800727
local3d,8,10,8,-6.088101,-11.800727,-13.599359,5.712625
