seed,snr_db,L,scene,method,nmse_db,rmse_delay,rmse_angle,alpha_delay,alpha_angle
1,0,2,1,grid,-11.455214,0.047601,0.129009,0.00,0.00
1,0,2,1,deterministic,-16.907900,0.047601,0.054437,1.00,1.00
1,0,2,1,shared_alpha,-17.929639,0.047601,0.045345,0.64,0.64
1,0,2,1,delay_only_alpha,-11.455214,0.047601,0.129009,0.64,0.00
1,0,2,1,oracle_axis_pair,-18.307929,0.047601,0.040613,0.00,0.80
1,0,2,2,grid,-5.400590,13.347410,0.634294,0.00,0.00
1,0,2,2,deterministic,-10.189936,13.505846,0.909955,1.00,1.00
1,0,2,2,shared_alpha,-9.739388,13.448591,0.803499,0.64,0.64
1,0,2,2,delay_only_alpha,-6.944666,13.448591,0.634294,0.64,0.00
1,0,2,2,oracle_axis_pair,-10.394314,13.474008,0.971356,0.80,1.20
1,0,2,3,grid,-12.108750,0.092442,0.119137,0.00,0.00
1,0,2,3,deterministic,-12.428950,0.113834,0.047510,1.00,1.00
1,0,2,3,shared_alpha,-13.477236,0.074415,0.026876,0.64,0.64
1,0,2,3,delay_only_alpha,-12.349850,0.074415,0.119137,0.64,0.00
1,0,2,3,oracle_axis_pair,-13.637223,0.065081,0.030932,0.40,0.60
1,0,2,4,grid,-5.731880,0.223747,0.123449,0.00,0.00
1,0,2,4,deterministic,-14.838521,0.113915,0.058352,1.00,1.00
1,0,2,4,shared_alpha,-11.908580,0.143163,0.042819,0.64,0.64
1,0,2,4,delay_only_alpha,-8.920984,0.143163,0.123449,0.64,0.00
1,0,2,4,oracle_axis_pair,-18.118850,0.107863,0.041496,1.20,0.80
1,0,2,5,grid,-8.741517,0.127066,0.145870,0.00,0.00
1,0,2,5,deterministic,-14.377594,0.075266,0.055954,1.00,1.00
1,0,2,5,shared_alpha,-14.321655,0.060051,0.061901,0.64,0.64
1,0,2,5,delay_only_alpha,-9.510348,0.060051,0.145870,0.64,0.00
1,0,2,5,oracle_axis_pair,-14.987232,0.060919,0.052060,0.80,0.80
1,0,2,6,grid,-4.403216,0.251628,0.243572,0.00,0.00
1,0,2,6,deterministic,-11.926212,0.051039,0.134526,1.00,1.00
1,0,2,6,shared_alpha,-11.970916,0.113124,0.061482,0.64,0.64
1,0,2,6,delay_only_alpha,-6.271330,0.113124,0.243572,0.64,0.00
1,0,2,6,oracle_axis_pair,-16.542213,0.051115,0.064917,1.20,0.60
1,0,2,7,grid,-9.798652,0.136575,0.017538,0.00,0.00
1,0,2,7,deterministic,-14.153376,0.112063,0.162357,1.00,1.00
1,0,2,7,shared_alpha,-16.484713,0.055572,0.105589,0.64,0.64
1,0,2,7,delay_only_alpha,-17.974006,0.055572,0.017538,0.64,0.00
1,0,2,7,oracle_axis_pair,-18.514852,0.075347,0.017538,0.80,0.00
1,0,2,8,grid,-6.017996,0.112432,0.275846,0.00,0.00
1,0,2,8,deterministic,-12.744832,0.112432,0.056625,1.00,1.00
1,0,2,8,shared_alpha,-10.202878,0.112432,0.133345,0.64,0.64
1,0,2,8,delay_only_alpha,-6.017996,0.112432,0.275846,0.64,0.00
1,0,2,8,oracle_axis_pair,-13.381430,0.112432,0.027919,0.00,1.20
1,0,2,9,grid,-6.577688,2.069427,0.533138,0.00,0.00
1,0,2,9,deterministic,-11.918129,2.225141,0.396726,1.00,1.00
1,0,2,9,shared_alpha,-12.090775,2.167682,0.417008,0.64,0.64
1,0,2,9,delay_only_alpha,-8.224110,2.167682,0.533138,0.64,0.00
1,0,2,9,oracle_axis_pair,-12.706793,2.193036,0.402986,0.80,1.20
1,0,2,10,grid,-5.749226,0.240900,0.078675,0.00,0.00
1,0,2,10,deterministic,-11.807499,0.079315,0.080721,1.00,1.00
1,0,2,10,shared_alpha,-16.687778,0.039875,0.023802,0.64,0.64
1,0,2,10,delay_only_alpha,-12.948350,0.039875,0.078675,0.64,0.00
1,0,2,10,oracle_axis_pair,-18.154217,0.020959,0.017620,0.80,0.60
1,0,4,1,grid,-5.423779,0.161123,0.231744,0.00,0.00
1,0,4,1,deterministic,-12.548474,0.108920,0.059697,1.00,1.00
1,0,4,1,shared_alpha,-10.215767,0.105388,0.099753,0.64,0.64
1,0,4,1,delay_only_alpha,-6.629423,0.105388,0.231744,0.64,0.00
1,0,4,1,oracle_axis_pair,-12.548474,0.108920,0.059697,1.00,1.00
1,0,4,2,grid,-6.174656,0.207360,0.208603,0.00,0.00
1,0,4,2,deterministic,-13.073966,0.070741,0.049484,1.00,1.00
1,0,4,2,shared_alpha,-12.562367,0.034441,0.092112,0.64,0.64
1,0,4,2,delay_only_alpha,-8.269912,0.034441,0.208603,0.64,0.00
