key,seed,L,alpha_hat,train_nmse_db
cell_s1_L2,1,2,0.900000,-14.261878
cell_s1_L4,1,4,1.050000,-10.355293
cell_s1_L8,1,8,0.850000,-14.787065
cell_s2_L2,2,2,0.900000,-12.206252
cell_s2_L4,2,4,0.900000,-12.557657
cell_s2_L8,2,8,0.950000,-12.591432
cell_s3_L2,3,2,0.650000,-12.291535
cell_s3_L4,3,4,0.900000,-13.788824
cell_s3_L8,3,8,0.850000,-13.453972
cell_s4_L2,4,2,1.150000,-15.534185
cell_s4_L4,4,4,0.900000,-13.746433
cell_s4_L8,4,8,0.900000,-14.058407
cell_s5_L2,5,2,1.100000,-12.864618
cell_s5_L4,5,4,1.000000,-15.240726
cell_s5_L8,5,8,1.050000,-13.306185
