seed,L,scene,method,nmse_db,rmse_angle,rmse_delay,rmse_doppler,half_bin_rate,alpha_used
1,2,1,grid,-3.961837,16.946830,5.133689,7.781434,0.0000,0.0000
1,2,1,deterministic,-9.008943,17.105446,5.290855,7.926891,0.5000,1.0000
1,2,1,learned,-9.162874,17.089517,5.274917,7.911745,0.5000,0.9000
1,2,1,oracle_alpha,-9.162874,17.089517,5.274917,7.911745,0.5000,0.9000
1,2,2,grid,-3.522377,0.265873,0.218292,0.292378,1.0000,0.0000
1,2,2,deterministic,-12.445425,0.091123,0.073081,0.067933,1.0000,1.0000
1,2,2,learned,-12.322988,0.056137,0.085404,0.090253,1.0000,0.9000
1,2,2,oracle_alpha,-12.445425,0.091123,0.073081,0.067933,1.0000,1.0000
1,2,3,grid,-12.973159,0.175552,0.069477,0.047128,1.0000,0.0000
1,2,3,deterministic,-13.129997,0.052396,0.069477,0.047128,1.0000,1.0000
1,2,3,learned,-13.126793,0.057224,0.069477,0.047128,1.0000,0.9000
1,2,3,oracle_alpha,-13.130101,0.052177,0.069477,0.047128,1.0000,1.1000
1,2,4,grid,-3.718116,0.279802,0.074251,0.278369,1.0000,0.0000
1,2,4,deterministic,-12.761016,0.079392,0.074251,0.072257,1.0000,1.0000
1,2,4,learned,-13.777521,0.045946,0.074251,0.088835,1.0000,0.9000
1,2,4,oracle_alpha,-13.777521,0.045946,0.074251,0.088835,1.0000,0.9000
1,2,5,grid,-5.213369,36.144802,1.329902,0.897281,0.0000,0.0000
1,2,5,deterministic,-9.631064,35.985614,1.399017,0.731315,0.5000,1.0000
1,2,5,learned,-10.276347,36.001501,1.388164,0.746521,0.5000,0.9000
1,2,5,oracle_alpha,-10.757081,36.033297,1.368974,0.777996,0.5000,0.7000
1,2,6,grid,-7.807983,0.129272,0.128098,0.145443,1.0000,0.0000
1,2,6,deterministic,-14.712494,0.037060,0.049728,0.079612,1.0000,1.0000
1,2,6,learned,-17.274361,0.025082,0.039854,0.057126,1.0000,0.9000
1,2,6,oracle_alpha,-20.981191,0.025674,0.036580,0.012311,1.0000,0.7000
1,2,7,grid,-3.938550,0.160902,0.237720,0.251399,1.0000,0.0000
1,2,7,deterministic,-11.786815,0.040464,0.079859,0.105154,1.0000,1.0000
1,2,7,learned,-12.052915,0.042242,0.095461,0.084613,1.0000,0.9000
1,2,7,oracle_alpha,-12.052915,0.042242,0.095461,0.084613,1.0000,0.9000
1,2,8,grid,-5.075950,32.747589,3.393848,5.844698,0.5000,0.0000
1,2,8,deterministic,-11.026921,32.588438,3.232011,6.159004,0.5000,1.0000
1,2,8,learned,-11.824966,32.604318,3.247856,6.127369,0.5000,0.9000
1,2,8,oracle_alpha,-12.256320,32.620206,3.263779,6.095778,0.5000,0.8000
1,2,9,grid,-2.967409,3.369040,4.064851,4.080025,0.5000,0.0000
1,2,9,deterministic,-8.719755,3.680064,4.219210,4.236391,0.5000,1.0000
1,2,9,learned,-8.414421,3.648594,4.203487,4.220475,0.5000,0.9000
1,2,9,oracle_alpha,-8.834114,3.711609,4.234994,4.252366,0.5000,1.1000
1,2,10,grid,-5.027782,24.230959,4.021978,10.531155,0.5000,0.0000
1,2,10,deterministic,-12.096481,24.389851,4.335078,10.689424,0.5000,1.0000
1,2,10,learned,-12.884868,24.373915,4.303470,10.673489,0.5000,0.9000
1,2,10,oracle_alpha,-13.160027,24.357989,4.271924,10.657578,0.5000,0.8000
1,2,11,grid,-2.806149,15.063140,1.656235,1.613912,0.0000,0.0000
1,2,11,deterministic,-8.704453,14.903105,1.803467,1.706959,0.5000,1.0000
1,2,11,learned,-8.294975,14.919033,1.788015,1.694526,0.5000,0.9000
1,2,11,oracle_alpha,-8.975499,14.871300,1.834807,1.733748,0.5000,1.2000
1,2,12,grid,-9.396741,0.155733,0.063936,0.123302,1.0000,0.0000
1,2,12,deterministic,-11.132008,0.077527,0.063936,0.097812,1.0000,1.0000
1,2,12,learned,-11.346387,0.074542,0.063936,0.088615,1.0000,0.9000
1,2,12,oracle_alpha,-11.481510,0.078534,0.063936,0.077087,1.0000,0.7000
1,2,13,grid,-8.638302,0.120511,0.028963,0.164636,1.0000,0.0000
1,2,13,deterministic,-17.061130,0.053736,0.028963,0.062224,1.0000,1.0000
1,2,13,learned,-17.609823,0.042107,0.028963,0.062586,1.0000,0.9000
1,2,13,oracle_alpha,-17.609823,0.042107,0.028963,0.062586,1.0000,0.9000
1,2,14,grid,-4.278378,0.280733,0.079197,0.227932,1.0000,0.0000
1,2,14,deterministic,-13.272844,0.076025,0.079197,0.078188,1.0000,1.0000
1,2,14,learned,-12.959252,0.041137,0.079197,0.091756,1.0000,0.9000
1,2,14,oracle_alpha,-13.272844,0.076025,0.079197,0.078188,1.0000,1.0000
1,2,15,grid,-4.258066,0.259525,0.233256,0.037493,1.0000,0.0000
1,2,15,deterministic,-18.512549,0.038049,0.036795,0.037493,1.0000,1.0000
1,2,15,learned,-15.448711,0.059009,0.045859,0.037493,1.0000,0.9000
1,2,15,oracle_alpha,-23.378247,0.020412,0.053786,0.037493,1.0000,1.2000
1,2,16,grid,-3.522941,29.621969,1.628483,8.541787,0.0000,0.0000
1,2,16,deterministic,-9.951707,29.780472,1.782427,8.688173,0.5000,1.0000
1,2,16,learned,-9.751916,29.764583,1.766347,8.672989,0.5000,0.9000
1,2,16,oracle_alpha,-9.951707,29.780472,1.782427,8.688173,0.5000,1.0000
1,2,17,grid,-5.630158,39.608818,4.109918,5.486921,0.5000,0.0000
1,2,17,deterministic,-8.110678,39.926408,4.109918,5.486921,0.5000,1.0000
1,2,17,learned,-8.077590,39.894620,4.109918,5.486921,0.5000,0.9000
1,2,17,oracle_alpha,-8.135514,39.990003,4.109918,5.486921,0.5000,1.2000
1,2,18,grid,-6.689353,0.175562,0.119596,0.192301,1.0000,0.0000
1,2,18,deterministic,-12.497794,0.049453,0.077037,0.079344,1.0000,1.0000
1,2,18,learned,-13.451159,0.026962,0.067033,0.084177,1.0000,0.9000
1,2,18,oracle_alpha,-13.942491,0.004569,0.059652,0.091555,1.0000,0.8000
1,2,19,grid,-4.849333,37.540307,4.039169,4.115724,0.5000,0.0000
1,2,19,deterministic,-11.073007,37.380888,4.196973,4.430942,0.5000,1.0000
1,2,19,learned,-11.461375,37.396799,4.180916,4.399142,0.5000,0.9000
1,2,19,oracle_alpha,-11.466570,37.412718,4.164918,4.367400,0.5000,0.8000
1,2,20,grid,-3.457796,0.236718,0.228008,0.227852,1.0000,0.0000
1,2,20,deterministic,-11.494095,0.089895,0.041640,0.096047,1.0000,1.0000
1,2,20,learned,-10.433451,0.102949,0.046936,0.105906,1.0000,0.9000
1,2,20,oracle_alpha,-13.044021,0.067567,0.061913,0.082229,1.0000,1.2000
1,2,21,grid,-3.918174,18.600693,1.230382,6.398382,0.5000,0.0000
1,2,21,deterministic,-7.968921,18.600693,1.532208,6.236735,0.5000,1.0000
1,2,21,learned,-7.802939,18.600693,1.500963,6.252723,0.5000,0.9000
1,2,21,oracle_alpha,-8.051581,18.600693,1.563639,6.220787,0.5000,1.1000
1,2,22,grid,-5.899305,0.270231,0.129348,0.088770,1.0000,0.0000
1,2,22,deterministic,-11.236101,0.085673,0.097894,0.087252,1.0000,1.0000
1,2,22,learned,-13.709009,0.050177,0.075774,0.073222,1.0000,0.9000
1,2,22,oracle_alpha,-19.271271,0.021615,0.033109,0.048759,1.0000,0.7000
1,2,23,grid,-4.114663,0.055590,0.314579,0.194053,1.0000,0.0000
1,2,23,deterministic,-13.922645,0.055590,0.089720,0.039295,1.0000,1.0000
1,2,23,learned,-12.700117,0.055590,0.112181,0.024477,1.0000,0.9000
1,2,23,oracle_alpha,-14.785531,0.055590,0.044918,0.080446,1.0000,1.2000
1,2,24,grid,-6.058611,0.237647,0.148809,0.133335,1.0000,0.0000
1,2,24,deterministic,-11.206282,0.091713,0.084747,0.094438,1.0000,1.0000
1,2,24,learned,-12.096080,0.104593,0.064203,0.072445,1.0000,0.9000
1,2,24,oracle_alpha,-12.588929,0.118213,0.045547,0.050897,1.0000,0.8000
1,2,25,grid,-3.821633,0.214235,0.161405,0.283260,1.0000,0.0000
1,2,25,deterministic,-13.988549,0.078058,0.012530,0.075346,1.0000,1.0000
1,2,25,learned,-12.829831,0.074278,0.021641,0.092610,1.0000,0.9000
1,2,25,oracle_alpha,-14.474649,0.087644,0.018760,0.061561,1.0000,1.1000
1,2,26,grid,-2.696437,0.187291,0.302466,0.304063,1.0000,0.0000
1,2,26,deterministic,-13.229312,0.043637,0.078001,0.080675,1.0000,1.0000
1,2,26,learned,-13.841047,0.025794,0.056865,0.102697,1.0000,0.9000
1,2,26,oracle_alpha,-13.841047,0.025794,0.056865,0.102697,1.0000,0.9000
