L,method,seed_mean_nmse_db,ci95
2,grid,-5.372620493333334,0.25033391589447573
2,deterministic,-12.745725833333333,0.6074011311396279
2,learned,-12.419676846666665,0.3383134897335111
2,oracle_alpha,-13.723324566666667,0.4367223834458633
2,learned_minus_deterministic,0.32604898666666776,0.4406368832122265
4,grid,-5.62894892,0.32301822967693244
4,deterministic,-12.972504020000002,0.29854781991062457
4,learned,-13.077871686666668,0.41442167299339117
4,oracle_alpha,-13.576492006666665,0.4338329607694386
4,learned_minus_deterministic,-0.10536766666666715,0.24804952242601655
8,grid,-5.41940488,0.15301536577267483
8,deterministic,-12.419407379999999,0.1999307229724685
8,learned,-12.438774666666667,0.17644033553853383
8,oracle_alpha,-12.718003333333334,0.19360440568063367
8,learned_minus_deterministic,-0.019367286666666317,0.11845589515026646
0,ALL_learned_minus_deterministic,0.06710467777777811,0.1876846780031861
0,ALL_learned_minus_grid,-7.171782968888889,0.22923140658498
0,ALL_deterministic_minus_grid,-7.238887646666666,0.2595649746472993
0,ALL_oracle_minus_deterministic,-0.6267275577777774,0.17302068866145914
