seed,snr_db,L,scene,method,nmse_db,wall_ms,newton_updates
1,0,2,1,grid,-6.964364,18.367,0
1,0,2,1,deterministic,-18.703901,33.651,0
1,0,2,1,learned_scalar,-18.136846,43.160,0
1,0,2,1,nomp_inspired,-40.499258,95.827,5
1,0,2,1,parafac_als,-22.395369,19.094,0
1,0,2,2,grid,-4.320367,10.246,0
1,0,2,2,deterministic,-14.359564,21.026,0
1,0,2,2,learned_scalar,-13.511560,26.826,0
1,0,2,2,nomp_inspired,-42.528752,105.449,7
1,0,2,2,parafac_als,-22.362737,15.648,0
1,0,2,3,grid,-3.998322,10.956,0
1,0,2,3,deterministic,-15.162555,21.331,0
1,0,2,3,learned_scalar,-14.998719,26.295,0
1,0,2,3,nomp_inspired,-44.013699,92.708,6
1,0,2,3,parafac_als,-22.817846,13.658,0
1,0,2,4,grid,-5.204473,12.107,0
1,0,2,4,deterministic,-16.578842,22.262,0
1,0,2,4,learned_scalar,-15.856136,27.023,0
1,0,2,4,nomp_inspired,-41.510056,89.551,6
1,0,2,4,parafac_als,-22.734258,14.053,0
1,0,2,5,grid,-6.056677,11.823,0
1,0,2,5,deterministic,-13.361523,24.623,0
1,0,2,5,learned_scalar,-13.204766,31.839,0
1,0,2,5,nomp_inspired,-40.417234,89.520,7
1,0,2,5,parafac_als,-22.195703,14.145,0
1,0,4,1,grid,-7.103879,17.714,0
1,0,4,1,deterministic,-13.199068,40.538,0
1,0,4,1,learned_scalar,-14.225767,53.143,0
1,0,4,1,nomp_inspired,-38.552666,305.107,18
1,0,4,1,parafac_als,-19.552121,18.365,0
1,0,4,2,grid,-5.448235,16.068,0
1,0,4,2,deterministic,-11.617108,38.864,0
1,0,4,2,learned_scalar,-11.481365,51.424,0
1,0,4,2,nomp_inspired,-37.378367,313.184,16
1,0,4,2,parafac_als,-16.864794,18.882,0
1,0,4,3,grid,-4.131199,17.036,0
1,0,4,3,deterministic,-13.632563,38.746,0
1,0,4,3,learned_scalar,-14.184258,46.880,0
1,0,4,3,nomp_inspired,-38.151951,325.038,21
1,0,4,3,parafac_als,-5.903798,17.903,0
1,0,4,4,grid,-5.498993,15.911,0
1,0,4,4,deterministic,-15.200233,39.924,0
1,0,4,4,learned_scalar,-15.153110,52.958,0
1,0,4,4,nomp_inspired,-37.631733,295.224,17
1,0,4,4,parafac_als,-17.880396,20.396,0
1,0,4,5,grid,-6.391559,16.850,0
1,0,4,5,deterministic,-13.098182,39.446,0
1,0,4,5,learned_scalar,-13.876021,51.756,0
1,0,4,5,nomp_inspired,-37.579919,312.238,19
1,0,4,5,parafac_als,-18.131520,17.206,0
1,0,8,1,grid,-3.969078,27.505,0
1,0,8,1,deterministic,-11.588786,70.548,0
1,0,8,1,learned_scalar,-11.800030,93.932,0
1,0,8,1,nomp_inspired,-34.457046,1223.030,49
1,0,8,1,parafac_als,-12.748875,25.083,0
1,0,8,2,grid,-7.480526,27.304,0
1,0,8,2,deterministic,-13.462243,72.392,0
1,0,8,2,learned_scalar,-13.726531,95.311,0
1,0,8,2,nomp_inspired,-34.829124,1258.909,51
1,0,8,2,parafac_als,-13.391645,23.848,0
1,0,8,3,grid,-5.062615,28.379,0
1,0,8,3,deterministic,-14.750635,73.617,0
1,0,8,3,learned_scalar,-14.918844,104.000,0
1,0,8,3,nomp_inspired,-34.957970,1271.727,50
1,0,8,3,parafac_als,-14.368816,26.772,0
1,0,8,4,grid,-5.551721,30.206,0
1,0,8,4,deterministic,-12.819868,80.137,0
1,0,8,4,learned_scalar,-13.534625,109.814,0
1,0,8,4,nomp_inspired,-35.555063,1319.809,48
