profile,seed,sample_index,snr_db,l_value,source_alpha,delay_alpha,angle_alpha,estimator_mode,grid_channel_nmse_db,trained_refinement_channel_nmse_db,trained_refinement_gain_vs_grid_db,grid_physical_delay_rmse_ns,trained_refinement_physical_delay_rmse_ns,physical_delay_rmse_reduction_vs_grid_ns,grid_projected_broadside_angle_rmse_deg,trained_refinement_projected_broadside_angle_rmse_deg,projected_angle_rmse_reduction_vs_grid_deg,matched_physical_paths,support_recall,topk_energy_efficiency
A,20260626.0,0.0,0.0,4.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-5.952864856228301,-9.491963380039932,3.5390985238116315,59.15706670988463,36.32354541880299,22.833521291081638,20.69247135283536,20.69247135283536,0.0,4.0,1.0,1.0000000000000002
A,20260626.0,1.0,0.0,4.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-5.279474864592938,-7.9190648945072715,2.6395900299143333,131.7553139986205,128.7704645100565,2.984849488563981,24.185727784940372,24.185727784940372,0.0,4.0,0.75,0.9507974595595364
A,20260626.0,2.0,0.0,4.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-8.463244902121298,-11.851097875086678,3.38785297296538,139.41839688930034,126.48158360427743,12.936813285022907,30.068375027377886,30.068375027377886,0.0,4.0,1.0,1.0
A,20260626.0,3.0,0.0,4.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-10.182335196813636,-14.527077213115602,4.344742016301966,131.37495362987147,107.3339286683522,24.04102496151927,27.16867262672115,27.16867262672115,0.0,4.0,1.0,1.0
A,20260626.0,0.0,0.0,8.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-8.299767790384657,-13.343830089640374,5.044062299255717,101.80861751720586,105.80127273967005,-3.992655222464194,38.87565600324758,38.87565600324758,0.0,8.0,0.875,0.9950200472433427
A,20260626.0,1.0,0.0,8.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-6.973317407483015,-10.367405599067936,3.3940881915849213,846.7258821697908,845.4050265569747,1.3208556128161035,34.022507710043804,19.759450981254144,14.26305672878966,8.0,0.875,0.982744392304661
A,20260626.0,2.0,0.0,8.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-8.43236205659934,-10.388455804519163,1.956093747919823,1180.4573054869245,1173.0956982005418,7.36160728638265,35.19697310369493,35.19697310369493,0.0,8.0,0.875,0.976024886106226
A,20260626.0,3.0,0.0,8.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-8.282911677803384,-10.072667620086138,1.7897559422827545,1758.0109551478254,1762.0336389741965,-4.0226838263711215,42.921796322266836,42.921796322266836,0.0,8.0,0.625,0.9747617220268397
A,20260626.0,0.0,0.0,16.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-6.321456710413548,-8.221303948104833,1.8998472376912847,1579.2398853548557,1576.546030360102,2.693854994753792,29.661761689659098,29.661761689659098,0.0,16.0,0.5625,0.9571730744614616
A,20260626.0,1.0,0.0,16.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-5.207230413424008,-6.666569847258282,1.4593394338342742,1457.3670003952336,1456.3064495940441,1.0605508011894926,35.01039705579687,35.01039705579687,0.0,16.0,0.5625,0.9327559286132298
