profile,seed,snr_db,l_value,n_samples,mean_channel_nmse_db,mean_support_recall,mean_dominant_energy_recall,mean_topk_energy_efficiency,mean_clean_topk_energy_fraction,mean_effective_support_95,mean_effective_support_99,mean_delay_support_recall,mean_angle_support_recall,mean_delay_bin_rmse,mean_angle_bin_rmse,mean_physical_delay_rmse_ns,mean_projected_broadside_angle_rmse_deg,mean_matched_physical_paths,mean_clean_grid_physical_delay_rmse_ns,mean_clean_grid_projected_broadside_angle_rmse_deg,mean_physical_delay_rmse_gap_vs_clean_grid_ns,mean_projected_angle_rmse_gap_vs_clean_grid_deg
A,20260626.0,0.0,4.0,50.0,-5.4858512125660175,0.92,0.7055646552749504,0.9967945393451489,0.7077859723531088,37.66,170.82,0.95,0.925,0.11146264369941973,0.19217332181807445,45.304081791880186,23.201183139531945,4.0,44.346637117211095,22.750938503053398,0.9574446746691007,0.45024463647854646
A,20260626.0,0.0,8.0,50.0,-7.789434453048043,0.94,0.8282343166562045,0.9974703726683729,0.8303078326590319,37.66,170.82,0.9475,0.9625,0.22295973102510952,0.14169844732154707,71.11933609581803,37.18415124543119,8.0,69.98617422385036,37.008980821593745,1.1331618719676653,0.17517042383743536
A,20260626.0,0.0,16.0,50.0,-9.46165880998541,0.8625,0.8906614280168044,0.9937557015706758,0.8962167625645117,37.66,170.82,0.89125,0.89625,1.7318224792565464,0.6483304820953709,241.30486445136924,29.955022956954707,16.0,173.75394278821463,28.845303729620518,67.55092166315464,1.1097192273341883
A,20260626.0,10.0,4.0,50.0,-5.5489441204226,0.985,0.7077152486705833,0.999891634025819,0.7077859723531088,37.66,170.82,0.995,0.985,0.01414213562373095,0.034142135623730946,44.71551087963072,22.677883420245497,4.0,44.346637117211095,22.750938503053398,0.3688737624196239,-0.07305508280789944
A,20260626.0,10.0,8.0,50.0,-7.936567832825918,0.98,0.8301857124276656,0.9998541045471915,0.8303078326590319,37.66,170.82,0.9825,0.9825,0.07962480225445503,0.05535533905932738,70.48231192392777,37.03628790495493,8.0,69.98617422385036,37.008980821593745,0.49613770007740454,0.027307083361186882
A,20260626.0,10.0,16.0,50.0,-10.084384081065796,0.96125,0.8958151483879447,0.9995449224240054,0.8962167625645117,37.66,170.82,0.96625,0.9675,0.22148688629071026,0.2301263328492453,175.33835204154616,29.035517509508573,16.0,173.75394278821463,28.845303729620518,1.584409253331502,0.1902137798880527
A,20260626.0,20.0,4.0,50.0,-5.552169151040834,0.99,0.7077606981371269,0.9999600040405483,0.7077859723531088,37.66,170.82,0.99,0.99,0.02,0.02,44.14060224693788,22.748628293268993,4.0,44.346637117211095,22.750938503053398,-0.2060348702732054,-0.0023102097844064674
A,20260626.0,20.0,8.0,50.0,-7.949673391262346,0.995,0.8302912668293371,0.9999794643948363,0.8303078326590319,37.66,170.82,0.995,0.995,0.01414213562373095,0.01414213562373095,70.12853040823653,37.013173590308995,8.0,69.98617422385036,37.008980821593745,0.14235618438617223,0.0041927687152451655
A,20260626.0,20.0,16.0,50.0,-10.131513285012067,0.98875,0.8961727394400134,0.9999521586500886,0.8962167625645117,37.66,170.82,0.9925,0.98875,0.045731321849709856,0.08352764923708328,174.69575893283655,29.563938622922233,16.0,173.75394278821463,28.845303729620518,0.9418161446219173,0.7186348933017146
A,20260626.0,30.0,4.0,50.0,-5.552570004007071,0.995,0.7077665826596595,0.9999708144991959,0.7077859723531088,37.66,170.82,1.0,0.995,0.0,0.01,44.346637117211095,22.750883499847934,4.0,44.346637117211095,22.750938503053398,0.0,-5.5003205468793226e-05
