profile,seed,snr_db,l_value,n_samples,mean_channel_nmse_db,mean_support_recall,mean_dominant_energy_recall,mean_delay_bin_rmse,mean_angle_bin_rmse
A,20260626.0,0.0,4.0,4.0,-7.469479954939043,0.9375,0.8200758627816835,0.1767766952966369,0.0
A,20260626.0,0.0,8.0,4.0,-7.9970897330675985,0.8125,0.8970492036432025,6.78250994772523,0.6464010495405377
A,20260626.0,0.0,16.0,4.0,-5.9041886458534965,0.515625,0.9137902192354665,10.823351895242782,0.8364273435916313
A,20260626.0,10.0,4.0,4.0,-7.912881396376008,0.875,0.8221459211865421,0.0,0.1767766952966369
A,20260626.0,10.0,8.0,4.0,-10.6447981279311,0.90625,0.9114461432349803,0.36648145657226705,0.30177669529663687
A,20260626.0,10.0,16.0,4.0,-12.620120028290167,0.84375,0.9529533986036196,2.3608717727235384,0.21338834764831843
A,20260626.0,20.0,4.0,4.0,-8.092910535358746,1.0,0.8295670167320313,0.0,0.0
A,20260626.0,20.0,8.0,4.0,-10.920396643024853,1.0,0.9135686260942247,0.0,0.0
A,20260626.0,20.0,16.0,4.0,-13.796033119640494,0.921875,0.9571123969599022,0.44436580788764657,0.23325317547305482
A,20260626.0,30.0,4.0,4.0,-8.099089019113563,1.0,0.8295670167320313,0.0,0.0
A,20260626.0,30.0,8.0,4.0,-10.941521790851974,1.0,0.9135686260942247,0.0,0.0
A,20260626.0,30.0,16.0,4.0,-14.004545641378575,0.96875,0.9578883534339742,0.13975424859373686,0.10825317547305482
A,20260627.0,0.0,4.0,4.0,-6.759163834612769,0.875,0.8023208064063262,0.34150635094610965,0.1767766952966369
A,20260627.0,0.0,8.0,4.0,-7.268054549480468,0.75,0.8647514178986743,7.362813848787936,0.33838834764831843
A,20260627.0,0.0,16.0,4.0,-6.437637088799497,0.59375,0.9077087316370624,7.59390791747723,0.6358326194183477
A,20260627.0,10.0,4.0,4.0,-7.10999679277003,0.875,0.8052327653564634,0.1767766952966369,0.25
A,20260627.0,10.0,8.0,4.0,-9.857206303562414,0.90625,0.8992631033384775,0.2860307014088422,0.21338834764831843
A,20260627.0,10.0,16.0,4.0,-12.15261381199224,0.875,0.9461137953966008,1.7799823218536632,0.3582531754730548
A,20260627.0,20.0,4.0,4.0,-7.212373565363527,1.0,0.8079160089720459,0.0,0.0
A,20260627.0,20.0,8.0,4.0,-10.017925752650061,0.9375,0.8995538307443961,0.15309310892394862,0.25
A,20260627.0,20.0,16.0,4.0,-13.029566793959294,0.9375,0.9503974124503811,0.5605074240667917,0.125
A,20260627.0,30.0,4.0,4.0,-7.217089483623603,1.0,0.8079160089720459,0.0,0.0
A,20260627.0,30.0,8.0,4.0,-10.055149951398011,1.0,0.9000869185718177,0.0,0.0
A,20260627.0,30.0,16.0,4.0,-13.13508246642725,0.984375,0.9510176580527407,0.13975424859373686,0.0625
C,20260626.0,0.0,4.0,4.0,-7.90159560992573,0.8125,0.8619333560251168,4.25,0.625
C,20260626.0,0.0,8.0,4.0,-7.550896926447695,0.6875,0.8985782703433727,7.812796564567938,0.7071067811865475
C,20260626.0,0.0,16.0,4.0,-5.957815635208336,0.453125,0.9183975202221552,12.079017613787174,0.815666853647016
C,20260626.0,10.0,4.0,4.0,-8.946312331479696,0.875,0.871862440151274,0.46650635094610965,0.0
C,20260626.0,10.0,8.0,4.0,-11.158098568021511,0.875,0.9269608049346603,0.481671393891065,0.3298698042205855
C,20260626.0,10.0,16.0,4.0,-13.399571719403973,0.859375,0.9624851404778989,0.7003599376194809,0.26475424859373686
C,20260626.0,20.0,4.0,4.0,-9.012567520847535,0.8125,0.8715776677606517,0.6830127018922193,0.0
C,20260626.0,20.0,8.0,4.0,-11.58186621099146,1.0,0.930242747772283,0.0,0.0
C,20260626.0,20.0,16.0,4.0,-14.664283311955778,0.9375,0.9662383730448054,0.36648145657226705,0.26516504294495535
C,20260626.0,30.0,4.0,4.0,-9.031846502077062,0.9375,0.8719770687722723,0.25,0.0
C,20260626.0,30.0,8.0,4.0,-11.596725750916093,1.0,0.930242747772283,0.0,0.0
C,20260626.0,30.0,16.0,4.0,-14.80510944739421,1.0,0.9667459392313329,0.0,0.0
C,20260627.0,0.0,4.0,4.0,-8.391034109105085,0.8125,0.8664928877044067,0.3535533905932738,0.4045084971874737
C,20260627.0,0.0,8.0,4.0,-7.394132387341082,0.65625,0.900647150711622,11.889552263986674,0.6830127018922193
C,20260627.0,0.0,16.0,4.0,-5.794291823920422,0.453125,0.9183539696474872,12.137713235259021,0.8137911424093331
C,20260627.0,10.0,4.0,4.0,-9.29867239985904,1.0,0.8717475204506194,0.0,0.0
C,20260627.0,10.0,8.0,4.0,-11.822491511186376,0.90625,0.9332050816674647,0.1767766952966369,0.26516504294495535
C,20260627.0,10.0,16.0,4.0,-14.026295976292376,0.890625,0.9677964461873438,1.3377980529886546,0.38975424859373686
C,20260627.0,20.0,4.0,4.0,-9.346858869123157,1.0,0.8717475204506194,0.0,0.0
C,20260627.0,20.0,8.0,4.0,-12.063517772785946,0.96875,0.9339008662791516,0.0,0.08838834764831845
C,20260627.0,20.0,16.0,4.0,-15.495880718997434,0.96875,0.9717363970480672,0.2903594569415369,0.0
C,20260627.0,30.0,4.0,4.0,-9.353888196675655,1.0,0.8717475204506194,0.0,0.0
C,20260627.0,30.0,8.0,4.0,-12.09205104136758,1.0,0.9339766478219297,0.0,0.0
C,20260627.0,30.0,16.0,4.0,-15.632022651131136,0.984375,0.9718476721936086,0.0,0.0625
D,20260626.0,0.0,4.0,4.0,-11.549319016419721,0.5625,0.9794312747529569,12.326866804565627,0.6432830462427466
D,20260626.0,0.0,8.0,4.0,-8.700827851032857,0.28125,0.979638118154621,14.037177881010113,0.8288884338389122
D,20260626.0,0.0,16.0,4.0,-6.2901256864234725,0.203125,0.9812448731808792,14.729134783925378,0.7562848569448072
D,20260626.0,10.0,4.0,4.0,-18.449870047436946,0.8125,0.9873768293484908,0.625,0.25
