profile,seed,sample_index,snr_db,l_value,channel_nmse_db,support_recall,dominant_energy_recall,delay_bin_rmse,angle_bin_rmse,noise_variance
A,20260626.0,0.0,0.0,4.0,-5.952864856228301,1.0,0.7544075251085189,0.0,0.0,0.9999999144306848
A,20260626.0,1.0,0.0,4.0,-5.279474864592938,0.75,0.7336340752728915,0.7071067811865476,0.0,0.9999998805865357
A,20260626.0,2.0,0.0,4.0,-8.463244902121298,1.0,0.873190380035383,0.0,0.0,0.9999999097332174
A,20260626.0,3.0,0.0,4.0,-10.182335196813636,1.0,0.9190714707099408,0.0,0.0,1.0000000226998578
A,20260626.0,0.0,0.0,8.0,-8.299767790384657,0.875,0.8802246121373453,0.6123724356957945,0.3535533905932738,0.9999999144306848
A,20260626.0,1.0,0.0,8.0,-6.973317407483015,0.875,0.8680170428172395,6.031169040907409,0.8660254037844386,0.9999998805865357
A,20260626.0,2.0,0.0,8.0,-8.43236205659934,0.875,0.9102387432383994,8.507349763586777,0.5,0.9999999097332174
A,20260626.0,3.0,0.0,8.0,-8.282911677803384,0.625,0.9297164163798259,11.979148550710939,0.8660254037844386,1.0000000226998578
A,20260626.0,0.0,0.0,16.0,-6.321456710413548,0.5625,0.9004367567506261,12.283118496538247,0.7905694150420949,0.9999999144306848
A,20260626.0,1.0,0.0,16.0,-5.207230413424008,0.5625,0.8856687262737987,10.656570742973557,0.82915619758885,0.9999998805865357
A,20260626.0,2.0,0.0,16.0,-6.323970291106857,0.5625,0.9358125225349996,8.699856320652657,0.7905694150420949,0.9999999097332174
A,20260626.0,3.0,0.0,16.0,-5.764097168469574,0.375,0.9332428713824419,11.653862020806665,0.9354143466934853,1.0000000226998578
A,20260626.0,0.0,10.0,4.0,-6.076400383176249,1.0,0.7544075251085189,0.0,0.0,0.09999999144306848
A,20260626.0,1.0,10.0,4.0,-5.82680027238586,0.5,0.741914308892326,0.0,0.7071067811865476,0.09999998805865357
A,20260626.0,2.0,10.0,4.0,-8.949308472260867,1.0,0.873190380035383,0.0,0.0,0.09999999097332174
