profile,seed,snr_db,l_value,n_samples,mean_channel_nmse_db,mean_support_recall,mean_dominant_energy_recall,mean_topk_energy_efficiency,mean_clean_topk_energy_fraction,mean_effective_support_95,mean_effective_support_99,mean_delay_support_recall,mean_angle_support_recall,mean_delay_bin_rmse,mean_angle_bin_rmse
A,20260626.0,0.0,4.0,50.0,-5.4858512125660175,0.92,0.7055646552749504,0.9967945393451489,0.7077859723531088,37.66,170.82,0.95,0.925,0.11146264369941973,0.19217332181807445
A,20260626.0,0.0,8.0,50.0,-7.789434453048043,0.94,0.8282343166562045,0.9974703726683729,0.8303078326590319,37.66,170.82,0.9475,0.9625,0.22295973102510952,0.14169844732154707
A,20260626.0,0.0,16.0,50.0,-9.46165880998541,0.8625,0.8906614280168044,0.9937557015706758,0.8962167625645117,37.66,170.82,0.89125,0.89625,1.7318224792565464,0.6483304820953709
A,20260626.0,10.0,4.0,50.0,-5.5489441204226,0.985,0.7077152486705833,0.999891634025819,0.7077859723531088,37.66,170.82,0.995,0.985,0.01414213562373095,0.034142135623730946
A,20260626.0,10.0,8.0,50.0,-7.936567832825918,0.98,0.8301857124276656,0.9998541045471915,0.8303078326590319,37.66,170.82,0.9825,0.9825,0.07962480225445503,0.05535533905932738
A,20260626.0,10.0,16.0,50.0,-10.084384081065796,0.96125,0.8958151483879447,0.9995449224240054,0.8962167625645117,37.66,170.82,0.96625,0.9675,0.22148688629071026,0.2301263328492453
A,20260626.0,20.0,4.0,50.0,-5.552169151040834,0.99,0.7077606981371269,0.9999600040405483,0.7077859723531088,37.66,170.82,0.99,0.99,0.02,0.02
A,20260626.0,20.0,8.0,50.0,-7.949673391262346,0.995,0.8302912668293371,0.9999794643948363,0.8303078326590319,37.66,170.82,0.995,0.995,0.01414213562373095,0.01414213562373095
A,20260626.0,20.0,16.0,50.0,-10.131513285012067,0.98875,0.8961727394400134,0.9999521586500886,0.8962167625645117,37.66,170.82,0.9925,0.98875,0.045731321849709856,0.08352764923708328
A,20260626.0,30.0,4.0,50.0,-5.552570004007071,0.995,0.7077665826596595,0.9999708144991959,0.7077859723531088,37.66,170.82,1.0,0.995,0.0,0.01
A,20260626.0,30.0,8.0,50.0,-7.951073343130169,1.0,0.830307832659032,1.0,0.8303078326590319,37.66,170.82,1.0,1.0,0.0,0.0
