profile,seed,sample_index,snr_db,l_value,channel_nmse_db,support_recall,dominant_energy_recall,topk_energy_efficiency,clean_topk_energy_fraction,effective_support_95,effective_support_99,delay_support_recall,angle_support_recall,delay_bin_rmse,angle_bin_rmse,noise_variance
A,20260626.0,0.0,0.0,4.0,-2.9262343083119657,0.75,0.4916086031795455,0.9771267571032245,0.5031165093021924,65.0,294.0,0.75,0.75,0.5,0.7071067811865476,1.0000000176969142
A,20260626.0,1.0,0.0,4.0,-4.164102137676341,0.75,0.6189636954041577,0.9967304644901913,0.6209940575266212,49.0,211.0,1.0,0.75,0.0,0.7071067811865476,0.9999999956993092
A,20260626.0,2.0,0.0,4.0,-5.908427748110631,0.75,0.7454893069646077,0.9885131725808124,0.7541521222405996,24.0,115.0,1.0,0.75,0.0,0.5,0.9999998260097842
A,20260626.0,3.0,0.0,4.0,-6.08307758352376,1.0,0.7567678238334336,1.0,0.7567678238334336,26.0,140.0,1.0,1.0,0.0,0.0,1.0000000670420803
A,20260626.0,4.0,0.0,4.0,-4.716085363582091,0.75,0.6633909996479498,0.9985407249597915,0.6643604843204194,31.0,139.0,1.0,0.75,0.0,0.5,0.9999998662220991
A,20260626.0,5.0,0.0,4.0,-3.503616150985706,0.75,0.5554415444468609,0.9998102686668496,0.5555469491101431,64.0,268.0,0.75,0.75,0.5,0.7071067811865476,0.9999999654495426
A,20260626.0,6.0,0.0,4.0,-8.857001690274679,0.75,0.8711316947998636,0.9991214722009626,0.8718976811506707,12.0,77.0,0.75,0.75,0.5,0.5,1.0000001087644317
A,20260626.0,7.0,0.0,4.0,-4.259566694678158,1.0,0.6257110927294122,1.0000000000000002,0.625711092729412,43.0,190.0,1.0,1.0,0.0,0.0,0.9999999123530037
A,20260626.0,8.0,0.0,4.0,-7.136708154635098,1.0,0.8084522859350345,1.0,0.8084522859350345,23.0,105.0,1.0,1.0,0.0,0.0,0.9999999319555349
A,20260626.0,9.0,0.0,4.0,-4.84546130820595,0.75,0.6731254799855012,0.9943157373856049,0.6769735755720588,36.0,164.0,0.75,0.75,0.5,0.7071067811865476,1.0000000629020662
A,20260626.0,10.0,0.0,4.0,-5.940097846379773,1.0,0.7463439187654295,0.9999999999999999,0.7463439187654296,39.0,182.0,1.0,1.0,0.0,0.0,1.0000000371522848
A,20260626.0,11.0,0.0,4.0,-4.391523308185486,1.0,0.638576506925052,0.9999999999999998,0.6385765069250521,47.0,207.0,1.0,1.0,0.0,0.0,0.9999998558258446
A,20260626.0,12.0,0.0,4.0,-5.569873671229557,1.0,0.7239863418290666,1.0,0.7239863418290666,41.0,185.0,1.0,1.0,0.0,0.0,0.9999999480379547
A,20260626.0,13.0,0.0,4.0,-6.235653762520801,1.0,0.7655321647301788,1.0,0.7655321647301788,35.0,151.0,1.0,1.0,0.0,0.0,1.0000000264367026
A,20260626.0,14.0,0.0,4.0,-6.973560661811331,0.75,0.8022477374169413,0.9785847422373768,0.8198040525164236,18.0,82.0,0.75,0.75,0.5,0.7071067811865476,1.000000050882969
