profile,seed,sample_index,snr_db,l_value,channel_nmse_db,support_recall,dominant_energy_recall,topk_energy_efficiency,clean_topk_energy_fraction,effective_support_95,effective_support_99,delay_support_recall,angle_support_recall,delay_bin_rmse,angle_bin_rmse,noise_variance
A,20260626.0,0.0,0.0,4.0,-5.104321793593992,1.0,0.6920227921092059,1.0,0.6920227921092059,54.0,244.0,1.0,1.0,0.0,0.0,0.9999999416893494
A,20260626.0,1.0,0.0,4.0,-5.676914617962603,1.0,0.7313752081868095,1.0,0.7313752081868095,34.0,156.0,1.0,1.0,0.0,0.0,1.0000000008925152
A,20260626.0,0.0,0.0,16.0,-7.56160573811151,0.875,0.8328714852185873,0.9960589118712463,0.8361668926327994,54.0,244.0,0.875,0.625,0.3535533905932738,0.6123724356957945,0.9999999416893494
A,20260626.0,1.0,0.0,16.0,-9.195414341362824,0.8125,0.8913651326472826,0.9897082373973806,0.9006342465040917,34.0,156.0,0.8125,0.625,0.4330127018922193,0.6123724356957945,1.0000000008925152
A,20260626.0,0.0,20.0,4.0,-5.114548663743249,1.0,0.6920227921092059,1.0,0.6920227921092059,54.0,244.0,1.0,1.0,0.0,0.0,0.009999999416893494
A,20260626.0,1.0,20.0,4.0,-5.708152098319243,1.0,0.7313752081868095,1.0,0.7313752081868095,34.0,156.0,1.0,1.0,0.0,0.0,0.010000000008925152
A,20260626.0,0.0,20.0,16.0,-7.854522374953746,1.0,0.8361668926327994,1.0,0.8361668926327994,54.0,244.0,1.0,1.0,0.0,0.0,0.009999999416893494
A,20260626.0,1.0,20.0,16.0,-10.015772420119424,0.9375,0.9004671178694391,0.9998144322900209,0.9006342465040917,34.0,156.0,0.875,0.5625,0.3535533905932738,0.6614378277661477,0.010000000008925152
C,20260626.0,0.0,0.0,4.0,-10.689738314765904,0.75,0.9158654815246644,0.9988892814440291,0.9168838814654787,9.0,47.0,0.75,0.5,0.5,1.4142135623730951,0.9999999395931335
C,20260626.0,1.0,0.0,4.0,-6.768158097868797,1.0,0.79122624218422,1.0,0.79122624218422,20.0,70.0,1.0,1.0,0.0,0.0,0.9999999616348161
C,20260626.0,0.0,0.0,16.0,-12.075795459048868,0.625,0.9583971357563339,0.9855676867743275,0.9724315728055976,9.0,47.0,0.4375,0.4375,7.084313657652377,1.8874586088176875,0.9999999395931335
C,20260626.0,1.0,0.0,16.0,-11.072412042562432,0.875,0.9316329875151182,0.9922217163250595,0.9389363004124253,20.0,70.0,0.875,0.75,0.75,0.6614378277661477,0.9999999616348161
C,20260626.0,0.0,20.0,4.0,-10.800698031581316,1.0,0.9168838814654787,1.0,0.9168838814654787,9.0,47.0,1.0,1.0,0.0,0.0,0.009999999395931335
C,20260626.0,1.0,20.0,4.0,-6.802831939314771,1.0,0.79122624218422,1.0,0.79122624218422,20.0,70.0,1.0,1.0,0.0,0.0,0.00999999961634816
C,20260626.0,0.0,20.0,16.0,-15.563573877338568,0.9375,0.9723173294085543,0.999882517803578,0.9724315728055976,9.0,47.0,0.8125,0.875,0.4330127018922193,0.3535533905932738,0.009999999395931335
C,20260626.0,1.0,20.0,16.0,-12.137786416945605,1.0,0.9389363004124253,1.0,0.9389363004124253,20.0,70.0,1.0,1.0,0.0,0.0,0.00999999961634816
D,20260626.0,0.0,0.0,4.0,-13.654013929669615,0.75,0.9628788466520429,0.9988290493341236,0.9640076520541256,3.0,15.0,1.0,0.75,0.0,0.5,0.999999921634886
D,20260626.0,1.0,0.0,4.0,-15.4987477759808,1.0,0.9736037688930563,1.0,0.9736037688930563,2.0,12.0,1.0,1.0,0.0,0.0,0.9999999219354663
D,20260626.0,0.0,0.0,16.0,-12.863715432382188,0.5,0.9793281696706857,0.9882871979009608,0.9909347927917075,3.0,15.0,0.3125,0.25,21.45198126048035,2.4748737341529163,0.999999921634886
D,20260626.0,1.0,0.0,16.0,-14.180219438924713,0.5625,0.9853660479672013,0.9920811584829655,0.9932312891356262,2.0,12.0,0.375,0.3125,23.13547060251855,2.8284271247461903,0.9999999219354663
D,20260626.0,0.0,20.0,4.0,-14.43548616948964,1.0,0.9640076520541256,1.0,0.9640076520541256,3.0,15.0,1.0,1.0,0.0,0.0,0.00999999921634886
D,20260626.0,1.0,20.0,4.0,-15.78153362740544,1.0,0.9736037688930563,1.0,0.9736037688930563,2.0,12.0,1.0,1.0,0.0,0.0,0.009999999219354662
D,20260626.0,0.0,20.0,16.0,-20.391360226691777,1.0,0.9909347927917075,1.0,0.9909347927917075,3.0,15.0,1.0,1.0,0.0,0.0,0.00999999921634886
D,20260626.0,1.0,20.0,16.0,-21.622547432799305,0.9375,0.9932240037450932,0.9999926649607069,0.9932312891356262,2.0,12.0,0.75,0.9375,2.850438562747845,0.7905694150420949,0.009999999219354662
