seed,split,sample_index,n_targets,shared_alpha,grid_nmse_db,curriculum_nmse_db,full_refine_nmse_db,gain_vs_grid_db
20260624,test,0,2,0.7999999999999999,-3.6523987970393224,-16.092089454202874,-13.032975117543105,12.439690657163553
20260624,test,1,2,0.7999999999999999,-3.9649009086382527,-10.04870020540402,-11.89666480705672,6.083799296765767
20260624,test,2,2,0.7999999999999999,-5.632559345411629,-15.405779639890744,-16.22579314301997,9.773220294479115
20260624,test,0,4,0.7999999999999999,-5.648999635989455,-12.903323159300228,-12.853913500164943,7.254323523310774
20260624,test,1,4,0.7999999999999999,-8.583858646322236,-13.458666624183927,-13.405785602149678,4.874807977861691
20260624,test,2,4,0.7999999999999999,-5.612523292572567,-8.622539420405511,-8.188023050518723,3.0100161278329436
20260624,test,0,8,0.7999999999999999,-6.147126712005562,-11.833863622964152,-12.130187196306515,5.68673691095859
20260624,test,1,8,0.7999999999999999,-5.919456627693501,-13.990090000955917,-13.795266686493877,8.070633373262416
20260624,test,2,8,0.7999999999999999,-4.717817087601947,-11.67042206368966,-13.094376650380182,6.952604976087713
20260625,test,0,2,0.9999999999999999,-6.041229922754412,-15.777709478411246,-15.777709478411246,9.736479555656835
20260625,test,1,2,0.9999999999999999,-4.338051803932658,-14.731693896137855,-14.731693896137855,10.393642092205198
20260625,test,2,2,0.9999999999999999,-4.663341300661494,-13.291255661126913,-13.291255661126913,8.627914360465418
20260625,test,0,4,0.9999999999999999,-7.614243933461259,-14.956188768333092,-14.956188768333092,7.341944834871834
20260625,test,1,4,0.9999999999999999,-4.933090986691437,-14.476619183793577,-14.476619183793577,9.543528197102141
20260625,test,2,4,0.9999999999999999,-4.02759465037542,-12.345366986149802,-12.345366986149802,8.317772335774382
20260625,test,0,8,0.9999999999999999,-7.682517633784954,-12.557783780289338,-12.557783780289338,4.875266146504384
20260625,test,1,8,0.9999999999999999,-6.287977420912874,-11.52611608023723,-11.52611608023723,5.238138659324356
20260625,test,2,8,0.9999999999999999,-4.986448119052581,-11.701073024672834,-11.701073024672834,6.714624905620252
