seed,n_targets,alpha,test_grid_nmse_db,test_torch_nmse_db,test_full_refine_nmse_db,test_gain_vs_grid_db,test_gap_vs_full_refine_db,n_test
20260624.0,2.0,0.642060684079871,-4.416619683696401,-11.576601847192103,-13.7184776892066,7.159982163495703,2.141875842014496,3.0
20260624.0,4.0,0.642060684079871,-6.615127191628086,-11.08865057845354,-11.482574050944448,4.4735233868254545,0.39392347249090776,3.0
20260624.0,8.0,0.642060684079871,-5.5948001424336695,-11.261740313770316,-13.006610177726857,5.6669401713366465,1.7448698639565414,3.0
20260625.0,2.0,0.6419424654343876,-5.014207675782855,-11.191959721988786,-14.600219678558672,6.1777520462059305,3.4082599565698857,3.0
20260625.0,4.0,0.6419424654343876,-5.524976523509372,-12.105254992286326,-13.926058312758824,6.580278468776954,1.820803320472498,3.0
20260625.0,8.0,0.6419424654343876,-6.318981057916804,-11.818050887529893,-11.928324295066467,5.499069829613089,0.11027340753657455,3.0
20260626.0,2.0,0.6415360764263726,-6.486162333199768,-13.763056430734151,-14.451170512068098,7.276894097534383,0.6881140813339464,3.0
20260626.0,4.0,0.6415360764263726,-7.159523066250341,-12.161892126364856,-12.387163010961322,5.002369060114515,0.2252708845964655,3.0
20260626.0,8.0,0.6415360764263726,-6.627081899423199,-11.576345517064121,-12.714098929865846,4.949263617640923,1.1377534128017253,3.0
20260627.0,2.0,0.6419755844026449,-4.70762503487998,-10.649262500230082,-12.072515953444608,5.941637465350102,1.4232534532145262,3.0
20260627.0,4.0,0.6419755844026449,-4.983497199441994,-11.604330867927542,-13.04652520359508,6.620833668485548,1.442194335667537,3.0
20260627.0,8.0,0.6419755844026449,-5.834386984663953,-12.613285812514045,-12.769073817791808,6.7788988278500915,0.15578800527776338,3.0
20260628.0,2.0,0.6420829754115103,-4.37382564434517,-11.259291035261173,-13.328601713313653,6.885465390916003,2.0693106780524797,3.0
20260628.0,4.0,0.6420829754115103,-6.355341793592745,-13.779177648867682,-14.010899607612822,7.423835855274937,0.23172195874514045,3.0
20260628.0,8.0,0.6420829754115103,-5.52316254562152,-11.67493453231342,-12.594478641032191,6.151771986691901,0.919544108718771,3.0
