n_targets,depth,mean_nmse_db,mean_gain_vs_k0_db,saturation_depth
2.0,0.0,-7.027025001460755,0.0,8.0
2.0,1.0,-8.945450089364359,1.9184250879036036,8.0
2.0,2.0,-10.747403659722142,3.720378658261387,8.0
2.0,3.0,-13.270758636185073,6.243733634724318,8.0
2.0,4.0,-19.054754338615595,12.02772933715484,8.0
2.0,5.0,-21.356544445703534,14.329519444242779,8.0
2.0,6.0,-25.176152741576743,18.149127740115986,8.0
2.0,7.0,-28.672255374017517,21.64523037255676,8.0
2.0,8.0,-32.157539913461484,25.130514912000727,8.0
8.0,0.0,-4.437511583163683,0.0,8.0
8.0,1.0,-6.86315289064585,2.4256413074821666,8.0
8.0,2.0,-9.973987972484037,5.536476389320354,8.0
8.0,3.0,-13.454286198671653,9.01677461550797,8.0
8.0,4.0,-15.520796253202104,11.08328467003842,8.0
8.0,5.0,-18.706504843609146,14.268993260445463,8.0
8.0,6.0,-20.12151972880327,15.684008145639588,8.0
8.0,7.0,-22.110077474653966,17.672565891490283,8.0
8.0,8.0,-24.0240174225193,19.586505839355617,8.0
32.0,0.0,-5.506179189334402,0.0,5.0
32.0,1.0,-7.372288880523547,1.8661096911891448,5.0
32.0,2.0,-9.82572759208848,4.319548402754078,5.0
32.0,3.0,-11.137180697348636,5.631001508014235,5.0
32.0,4.0,-12.571339285611128,7.065160096276726,5.0
32.0,5.0,-13.208748008109271,7.7025688187748695,5.0
32.0,6.0,-13.481176779141038,7.974997589806636,5.0
32.0,7.0,-13.62278607985796,8.116606890523558,5.0
32.0,8.0,-13.682613841910218,8.176434652575816,5.0
