n_targets,trial,depth,nmse_db,gain_vs_k0_db
2.0,0.0,0.0,-3.7105481409817562,0.0
2.0,0.0,1.0,-7.5473983167889624,3.836850175807206
2.0,0.0,2.0,-9.494595051074175,5.784046910092418
2.0,0.0,3.0,-13.563114065735668,9.852565924753911
2.0,0.0,4.0,-18.72661622239778,15.016068081416023
2.0,0.0,5.0,-21.545562050987268,17.83501391000551
2.0,0.0,6.0,-24.81143206176142,21.100883920779662
2.0,0.0,7.0,-28.393059278912585,24.682511137930828
2.0,0.0,8.0,-32.811343715976264,29.100795574994507
2.0,1.0,0.0,-10.343501861939755,0.0
2.0,1.0,1.0,-10.343501861939755,0.0
2.0,1.0,2.0,-12.000212268370108,1.6567104064303528
2.0,1.0,3.0,-12.978403206634479,2.6349013446947236
2.0,1.0,4.0,-19.382892454833407,9.039390592893652
2.0,1.0,5.0,-21.167526840419796,10.824024978480042
2.0,1.0,6.0,-25.540873421392064,15.197371559452309
2.0,1.0,7.0,-28.95145146912245,18.607949607182697
2.0,1.0,8.0,-31.5037361109467,21.160234249006947
8.0,0.0,0.0,-3.9989082978896473,0.0
8.0,0.0,1.0,-7.371023531672606,3.3721152337829583
8.0,0.0,2.0,-10.395141647363848,6.396233349474201
8.0,0.0,3.0,-15.136038655506098,11.137130357616451
8.0,0.0,4.0,-17.23814568157453,13.239237383684882
8.0,0.0,5.0,-22.663494158617393,18.664585860727748
8.0,0.0,6.0,-25.023897819254522,21.024989521364873
8.0,0.0,7.0,-28.790856713397837,24.791948415508188
8.0,0.0,8.0,-32.537968983513,28.539060685623348
8.0,1.0,0.0,-4.8761148684377185,0.0
8.0,1.0,1.0,-6.355282249619095,1.4791673811813766
8.0,1.0,2.0,-9.552834297604226,4.676719429166508
8.0,1.0,3.0,-11.772533741837206,6.896418873399488
8.0,1.0,4.0,-13.803446824829678,8.92733195639196
8.0,1.0,5.0,-14.7495155286009,9.873400660163181
8.0,1.0,6.0,-15.219141638352024,10.343026769914307
8.0,1.0,7.0,-15.429298235910094,10.553183367472375
8.0,1.0,8.0,-15.510065861525604,10.633950993087886
32.0,0.0,0.0,-5.644446951261751,0.0
32.0,0.0,1.0,-7.454916531349674,1.810469580087923
32.0,0.0,2.0,-9.628904678743348,3.9844577274815967
32.0,0.0,3.0,-11.084710881838404,5.440263930576653
32.0,0.0,4.0,-12.339845457577226,6.695398506315475
32.0,0.0,5.0,-13.007244206435182,7.36279725517343
32.0,0.0,6.0,-13.24705750384239,7.6026105525806384
32.0,0.0,7.0,-13.367026298839663,7.722579347577912
32.0,0.0,8.0,-13.417713509020594,7.773266557758842
32.0,1.0,0.0,-5.367911427407051,0.0
32.0,1.0,1.0,-7.289661229697418,1.9217498022903667
32.0,1.0,2.0,-10.022550505433612,4.654639078026561
32.0,1.0,3.0,-11.189650512858867,5.821739085451815
32.0,1.0,4.0,-12.802833113645029,7.434921686237978
32.0,1.0,5.0,-13.410251809783361,8.04234038237631
32.0,1.0,6.0,-13.715296054439687,8.347384627032636
32.0,1.0,7.0,-13.878545860876258,8.510634433469207
32.0,1.0,8.0,-13.947514174799842,8.57960274739279
