split,sample_index,depth,nmse_db,gate_depth,gate_nmse_db,fixed_depth_nmse_db,gate_gap_vs_fixed_db,gate_depth_savings_percent
train,0.0,0.0,-5.626133197315969,5.0,-13.742091185912725,-14.160874821187925,0.418783635275199,37.5
train,0.0,1.0,-8.517750530687081,5.0,-13.742091185912725,-14.160874821187925,0.418783635275199,37.5
train,0.0,2.0,-10.494177316810685,5.0,-13.742091185912725,-14.160874821187925,0.418783635275199,37.5
train,0.0,3.0,-11.926792530596654,5.0,-13.742091185912725,-14.160874821187925,0.418783635275199,37.5
train,0.0,4.0,-13.13782277162425,5.0,-13.742091185912725,-14.160874821187925,0.418783635275199,37.5
train,0.0,5.0,-13.742091185912725,5.0,-13.742091185912725,-14.160874821187925,0.418783635275199,37.5
train,0.0,6.0,-14.003948119179341,5.0,-13.742091185912725,-14.160874821187925,0.418783635275199,37.5
train,0.0,7.0,-14.112247010542681,5.0,-13.742091185912725,-14.160874821187925,0.418783635275199,37.5
train,0.0,8.0,-14.160874821187925,5.0,-13.742091185912725,-14.160874821187925,0.418783635275199,37.5
train,1.0,0.0,-5.568472014443944,5.0,-14.128062929036423,-14.590255834256883,0.4621929052204603,37.5
train,1.0,1.0,-7.319093536218709,5.0,-14.128062929036423,-14.590255834256883,0.4621929052204603,37.5
train,1.0,2.0,-10.38348427037276,5.0,-14.128062929036423,-14.590255834256883,0.4621929052204603,37.5
train,1.0,3.0,-12.001059653841384,5.0,-14.128062929036423,-14.590255834256883,0.4621929052204603,37.5
train,1.0,4.0,-13.378565824702628,5.0,-14.128062929036423,-14.590255834256883,0.4621929052204603,37.5
train,1.0,5.0,-14.128062929036423,5.0,-14.128062929036423,-14.590255834256883,0.4621929052204603,37.5
train,1.0,6.0,-14.352999057778744,5.0,-14.128062929036423,-14.590255834256883,0.4621929052204603,37.5
train,1.0,7.0,-14.517981397286057,5.0,-14.128062929036423,-14.590255834256883,0.4621929052204603,37.5
train,1.0,8.0,-14.590255834256883,5.0,-14.128062929036423,-14.590255834256883,0.4621929052204603,37.5
train,2.0,0.0,-6.1151327544643195,5.0,-13.40315352125543,-13.810541224031176,0.4073877027757469,37.5
train,2.0,1.0,-8.48431900842731,5.0,-13.40315352125543,-13.810541224031176,0.4073877027757469,37.5
train,2.0,2.0,-10.852060477353653,5.0,-13.40315352125543,-13.810541224031176,0.4073877027757469,37.5
train,2.0,3.0,-11.631756149135706,5.0,-13.40315352125543,-13.810541224031176,0.4073877027757469,37.5
train,2.0,4.0,-12.930729990935303,5.0,-13.40315352125543,-13.810541224031176,0.4073877027757469,37.5
train,2.0,5.0,-13.40315352125543,5.0,-13.40315352125543,-13.810541224031176,0.4073877027757469,37.5
train,2.0,6.0,-13.694500087420288,5.0,-13.40315352125543,-13.810541224031176,0.4073877027757469,37.5
train,2.0,7.0,-13.778359782864133,5.0,-13.40315352125543,-13.810541224031176,0.4073877027757469,37.5
train,2.0,8.0,-13.810541224031176,5.0,-13.40315352125543,-13.810541224031176,0.4073877027757469,37.5
train,3.0,0.0,-6.615598622518841,7.0,-17.891016938784652,-18.081565379693423,0.19054844090877054,12.5
train,3.0,1.0,-8.283828802684962,7.0,-17.891016938784652,-18.081565379693423,0.19054844090877054,12.5
train,3.0,2.0,-10.472939898249525,7.0,-17.891016938784652,-18.081565379693423,0.19054844090877054,12.5
train,3.0,3.0,-12.766774668530743,7.0,-17.891016938784652,-18.081565379693423,0.19054844090877054,12.5
train,3.0,4.0,-15.550096548933986,7.0,-17.891016938784652,-18.081565379693423,0.19054844090877054,12.5
train,3.0,5.0,-16.803114107978068,7.0,-17.891016938784652,-18.081565379693423,0.19054844090877054,12.5
train,3.0,6.0,-17.59257470654416,7.0,-17.891016938784652,-18.081565379693423,0.19054844090877054,12.5
train,3.0,7.0,-17.891016938784652,7.0,-17.891016938784652,-18.081565379693423,0.19054844090877054,12.5
train,3.0,8.0,-18.081565379693423,7.0,-17.891016938784652,-18.081565379693423,0.19054844090877054,12.5
train,4.0,0.0,-6.502697534799267,6.0,-17.194931986273076,-17.71057718113787,0.5156451948647955,25.0
train,4.0,1.0,-8.973384384007792,6.0,-17.194931986273076,-17.71057718113787,0.5156451948647955,25.0
train,4.0,2.0,-11.861938604133266,6.0,-17.194931986273076,-17.71057718113787,0.5156451948647955,25.0
train,4.0,3.0,-13.375785592613711,6.0,-17.194931986273076,-17.71057718113787,0.5156451948647955,25.0
train,4.0,4.0,-15.467335124506956,6.0,-17.194931986273076,-17.71057718113787,0.5156451948647955,25.0
train,4.0,5.0,-16.562629493910443,6.0,-17.194931986273076,-17.71057718113787,0.5156451948647955,25.0
train,4.0,6.0,-17.194931986273076,6.0,-17.194931986273076,-17.71057718113787,0.5156451948647955,25.0
train,4.0,7.0,-17.574259925352436,6.0,-17.194931986273076,-17.71057718113787,0.5156451948647955,25.0
train,4.0,8.0,-17.71057718113787,6.0,-17.194931986273076,-17.71057718113787,0.5156451948647955,25.0
train,5.0,0.0,-6.474579813404374,7.0,-19.447690636872224,-19.685211177131013,0.23752054025878877,12.5
train,5.0,1.0,-8.156421804633862,7.0,-19.447690636872224,-19.685211177131013,0.23752054025878877,12.5
train,5.0,2.0,-11.524350402613186,7.0,-19.447690636872224,-19.685211177131013,0.23752054025878877,12.5
train,5.0,3.0,-13.645482883563725,7.0,-19.447690636872224,-19.685211177131013,0.23752054025878877,12.5
train,5.0,4.0,-16.38190478130809,7.0,-19.447690636872224,-19.685211177131013,0.23752054025878877,12.5
train,5.0,5.0,-18.095389441452227,7.0,-19.447690636872224,-19.685211177131013,0.23752054025878877,12.5
train,5.0,6.0,-18.935959406191753,7.0,-19.447690636872224,-19.685211177131013,0.23752054025878877,12.5
train,5.0,7.0,-19.447690636872224,7.0,-19.447690636872224,-19.685211177131013,0.23752054025878877,12.5
train,5.0,8.0,-19.685211177131013,7.0,-19.447690636872224,-19.685211177131013,0.23752054025878877,12.5
test,0.0,0.0,-5.719267467626255,5.0,-13.435133917986272,-13.833900194340663,0.3987662763543902,37.5
test,0.0,1.0,-8.564837619970163,5.0,-13.435133917986272,-13.833900194340663,0.3987662763543902,37.5
test,0.0,2.0,-10.177715687780038,5.0,-13.435133917986272,-13.833900194340663,0.3987662763543902,37.5
test,0.0,3.0,-11.767261341353866,5.0,-13.435133917986272,-13.833900194340663,0.3987662763543902,37.5
test,0.0,4.0,-12.777553530957093,5.0,-13.435133917986272,-13.833900194340663,0.3987662763543902,37.5
test,0.0,5.0,-13.435133917986272,5.0,-13.435133917986272,-13.833900194340663,0.3987662763543902,37.5
test,0.0,6.0,-13.68858693800961,5.0,-13.435133917986272,-13.833900194340663,0.3987662763543902,37.5
test,0.0,7.0,-13.788934564171605,5.0,-13.435133917986272,-13.833900194340663,0.3987662763543902,37.5
test,0.0,8.0,-13.833900194340663,5.0,-13.435133917986272,-13.833900194340663,0.3987662763543902,37.5
test,1.0,0.0,-5.403974041397589,5.0,-12.118542378172886,-12.397720001160739,0.2791776229878522,37.5
test,1.0,1.0,-7.273586994481689,5.0,-12.118542378172886,-12.397720001160739,0.2791776229878522,37.5
test,1.0,2.0,-9.295269970707542,5.0,-12.118542378172886,-12.397720001160739,0.2791776229878522,37.5
test,1.0,3.0,-10.361825596875152,5.0,-12.118542378172886,-12.397720001160739,0.2791776229878522,37.5
test,1.0,4.0,-11.533306790931224,5.0,-12.118542378172886,-12.397720001160739,0.2791776229878522,37.5
test,1.0,5.0,-12.118542378172886,5.0,-12.118542378172886,-12.397720001160739,0.2791776229878522,37.5
test,1.0,6.0,-12.255400854278374,5.0,-12.118542378172886,-12.397720001160739,0.2791776229878522,37.5
test,1.0,7.0,-12.358415961156785,5.0,-12.118542378172886,-12.397720001160739,0.2791776229878522,37.5
test,1.0,8.0,-12.397720001160739,5.0,-12.118542378172886,-12.397720001160739,0.2791776229878522,37.5
test,2.0,0.0,-5.608203104619632,6.0,-15.871894826015826,-16.16528652378435,0.2933916977685236,25.0
test,2.0,1.0,-7.920217861048734,6.0,-15.871894826015826,-16.16528652378435,0.2933916977685236,25.0
test,2.0,2.0,-10.86316010609637,6.0,-15.871894826015826,-16.16528652378435,0.2933916977685236,25.0
test,2.0,3.0,-12.27803107478238,6.0,-15.871894826015826,-16.16528652378435,0.2933916977685236,25.0
test,2.0,4.0,-14.410145659178324,6.0,-15.871894826015826,-16.16528652378435,0.2933916977685236,25.0
test,2.0,5.0,-15.17959768041717,6.0,-15.871894826015826,-16.16528652378435,0.2933916977685236,25.0
test,2.0,6.0,-15.871894826015826,6.0,-15.871894826015826,-16.16528652378435,0.2933916977685236,25.0
test,2.0,7.0,-16.09596565076355,6.0,-15.871894826015826,-16.16528652378435,0.2933916977685236,25.0
test,2.0,8.0,-16.16528652378435,6.0,-15.871894826015826,-16.16528652378435,0.2933916977685236,25.0
test,3.0,0.0,-5.045235791091183,5.0,-13.17447605574133,-13.514919490502308,0.34044343476097794,37.5
test,3.0,1.0,-7.418475913242821,5.0,-13.17447605574133,-13.514919490502308,0.34044343476097794,37.5
test,3.0,2.0,-9.801256367695817,5.0,-13.17447605574133,-13.514919490502308,0.34044343476097794,37.5
test,3.0,3.0,-11.295045707125341,5.0,-13.17447605574133,-13.514919490502308,0.34044343476097794,37.5
test,3.0,4.0,-12.686844704054476,5.0,-13.17447605574133,-13.514919490502308,0.34044343476097794,37.5
test,3.0,5.0,-13.17447605574133,5.0,-13.17447605574133,-13.514919490502308,0.34044343476097794,37.5
test,3.0,6.0,-13.338671362030867,5.0,-13.17447605574133,-13.514919490502308,0.34044343476097794,37.5
test,3.0,7.0,-13.485427476229448,5.0,-13.17447605574133,-13.514919490502308,0.34044343476097794,37.5
test,3.0,8.0,-13.514919490502308,5.0,-13.17447605574133,-13.514919490502308,0.34044343476097794,37.5
test,4.0,0.0,-5.519354059505808,5.0,-13.649642528511848,-14.212511340804976,0.5628688122931287,37.5
test,4.0,1.0,-7.70009050386698,5.0,-13.649642528511848,-14.212511340804976,0.5628688122931287,37.5
test,4.0,2.0,-10.163042879918855,5.0,-13.649642528511848,-14.212511340804976,0.5628688122931287,37.5
test,4.0,3.0,-11.379206559397561,5.0,-13.649642528511848,-14.212511340804976,0.5628688122931287,37.5
test,4.0,4.0,-13.13486691227511,5.0,-13.649642528511848,-14.212511340804976,0.5628688122931287,37.5
test,4.0,5.0,-13.649642528511848,5.0,-13.649642528511848,-14.212511340804976,0.5628688122931287,37.5
test,4.0,6.0,-13.991539540873568,5.0,-13.649642528511848,-14.212511340804976,0.5628688122931287,37.5
test,4.0,7.0,-14.151066512745816,5.0,-13.649642528511848,-14.212511340804976,0.5628688122931287,37.5
test,4.0,8.0,-14.212511340804976,5.0,-13.649642528511848,-14.212511340804976,0.5628688122931287,37.5
test,5.0,0.0,-5.798899300842067,6.0,-15.9427213518344,-16.253994757966662,0.31127340613226195,25.0
test,5.0,1.0,-7.909257996739564,6.0,-15.9427213518344,-16.253994757966662,0.31127340613226195,25.0
test,5.0,2.0,-10.941126854186038,6.0,-15.9427213518344,-16.253994757966662,0.31127340613226195,25.0
