seed,sample_index,selected_threshold_db,gate_depth,gate_nmse_db,fixed_depth_nmse_db,gate_gap_vs_fixed_db,gate_depth_savings_percent
20260624.0,0.0,0.75,6.0,-17.194931986273076,-17.71057718113787,0.5156451948647955,25.0
20260624.0,1.0,0.75,7.0,-19.447690636872224,-19.685211177131013,0.23752054025878877,12.5
20260624.0,2.0,0.75,5.0,-13.435133917986272,-13.833900194340663,0.3987662763543902,37.5
20260624.0,3.0,0.75,5.0,-12.118542378172886,-12.397720001160739,0.2791776229878522,37.5
20260625.0,0.0,0.5,6.0,-15.773725904750348,-16.101631298257477,0.32790539350712855,25.0
20260625.0,1.0,0.5,6.0,-14.95673741803678,-15.210769785488267,0.2540323674514866,25.0
20260625.0,2.0,0.5,7.0,-15.720695600631222,-15.846655747031122,0.1259601463998994,12.5
20260625.0,3.0,0.5,6.0,-16.764398794720673,-17.23102955137591,0.46663075665523834,25.0
20260626.0,0.0,0.75,6.0,-14.449937430861318,-14.69179330766643,0.24185587680511134,25.0
20260626.0,1.0,0.75,5.0,-13.32914121878754,-13.89514895837557,0.566007739588029,37.5
20260626.0,2.0,0.75,6.0,-15.275396173655354,-15.577102775568681,0.30170660191332743,25.0
20260626.0,3.0,0.75,6.0,-16.494961601142705,-16.78644979487011,0.2914881937274032,25.0
