n_targets,trial,depth,nmse_db,fixed_depth_nmse_db,oracle_depth,oracle_nmse_db,oracle_gap_vs_fixed_db,oracle_depth_savings_percent
2.0,0.0,0.0,-3.7105481409817562,-32.811343715976264,8.0,-32.811343715976264,0.0,0.0
2.0,0.0,1.0,-7.5473983167889624,-32.811343715976264,8.0,-32.811343715976264,0.0,0.0
2.0,0.0,2.0,-9.494595051074175,-32.811343715976264,8.0,-32.811343715976264,0.0,0.0
2.0,0.0,3.0,-13.563114065735668,-32.811343715976264,8.0,-32.811343715976264,0.0,0.0
2.0,0.0,4.0,-18.72661622239778,-32.811343715976264,8.0,-32.811343715976264,0.0,0.0
2.0,0.0,5.0,-21.545562050987268,-32.811343715976264,8.0,-32.811343715976264,0.0,0.0
2.0,0.0,6.0,-24.81143206176142,-32.811343715976264,8.0,-32.811343715976264,0.0,0.0
2.0,0.0,7.0,-28.393059278912585,-32.811343715976264,8.0,-32.811343715976264,0.0,0.0
2.0,0.0,8.0,-32.811343715976264,-32.811343715976264,8.0,-32.811343715976264,0.0,0.0
2.0,1.0,0.0,-10.343501861939755,-31.5037361109467,8.0,-31.5037361109467,0.0,0.0
2.0,1.0,1.0,-10.343501861939755,-31.5037361109467,8.0,-31.5037361109467,0.0,0.0
2.0,1.0,2.0,-12.000212268370108,-31.5037361109467,8.0,-31.5037361109467,0.0,0.0
2.0,1.0,3.0,-12.978403206634479,-31.5037361109467,8.0,-31.5037361109467,0.0,0.0
2.0,1.0,4.0,-19.382892454833407,-31.5037361109467,8.0,-31.5037361109467,0.0,0.0
2.0,1.0,5.0,-21.167526840419796,-31.5037361109467,8.0,-31.5037361109467,0.0,0.0
2.0,1.0,6.0,-25.540873421392064,-31.5037361109467,8.0,-31.5037361109467,0.0,0.0
2.0,1.0,7.0,-28.95145146912245,-31.5037361109467,8.0,-31.5037361109467,0.0,0.0
2.0,1.0,8.0,-31.5037361109467,-31.5037361109467,8.0,-31.5037361109467,0.0,0.0
