split,seed,snr_db,sample_index,depth,nmse_db
train,20260624.0,10.0,0.0,0.0,-5.9561094409378175
train,20260624.0,10.0,0.0,1.0,-7.880335171704285
train,20260624.0,10.0,0.0,2.0,-11.177196803633526
train,20260624.0,10.0,0.0,3.0,-13.026940010387552
train,20260624.0,10.0,0.0,4.0,-15.22444228802575
train,20260624.0,10.0,0.0,5.0,-16.616680281963806
train,20260624.0,10.0,0.0,6.0,-17.340188041883376
train,20260624.0,10.0,0.0,7.0,-17.795017292664642
train,20260624.0,10.0,0.0,8.0,-17.928599181234173
train,20260624.0,10.0,1.0,0.0,-5.137779242836355
train,20260624.0,10.0,1.0,1.0,-7.373986274853541
train,20260624.0,10.0,1.0,2.0,-10.730496375967123
train,20260624.0,10.0,1.0,3.0,-12.690300201012338
train,20260624.0,10.0,1.0,4.0,-15.189064031418498
train,20260624.0,10.0,1.0,5.0,-16.403853300199096
train,20260624.0,10.0,1.0,6.0,-17.121634922908385
train,20260624.0,10.0,1.0,7.0,-17.410212972415863
train,20260624.0,10.0,1.0,8.0,-17.65176287583744
test,20260624.0,10.0,0.0,0.0,-4.993014201009791
test,20260624.0,10.0,0.0,1.0,-8.066420093641064
test,20260624.0,10.0,0.0,2.0,-10.926662474783097
test,20260624.0,10.0,0.0,3.0,-11.876073184846732
test,20260624.0,10.0,0.0,4.0,-13.452814183456486
test,20260624.0,10.0,0.0,5.0,-14.214776204549803
test,20260624.0,10.0,0.0,6.0,-14.578440582334718
test,20260624.0,10.0,0.0,7.0,-14.75264713950444
test,20260624.0,10.0,0.0,8.0,-14.811089899196974
test,20260624.0,10.0,1.0,0.0,-4.415711670482877
test,20260624.0,10.0,1.0,1.0,-6.7741889893768725
test,20260624.0,10.0,1.0,2.0,-10.997710654908907
test,20260624.0,10.0,1.0,3.0,-12.26058703231147
test,20260624.0,10.0,1.0,4.0,-14.877474445657423
test,20260624.0,10.0,1.0,5.0,-15.580118879177029
test,20260624.0,10.0,1.0,6.0,-16.233312939632185
test,20260624.0,10.0,1.0,7.0,-16.45688860923999
test,20260624.0,10.0,1.0,8.0,-16.57867271910819
train,20260624.0,20.0,0.0,0.0,-5.51372344722587
train,20260624.0,20.0,0.0,1.0,-7.4245596306535635
train,20260624.0,20.0,0.0,2.0,-10.286480565900625
train,20260624.0,20.0,0.0,3.0,-12.037575909740845
train,20260624.0,20.0,0.0,4.0,-13.705411179031525
train,20260624.0,20.0,0.0,5.0,-14.329853209823813
train,20260624.0,20.0,0.0,6.0,-14.871453324124857
train,20260624.0,20.0,0.0,7.0,-15.02998370048897
train,20260624.0,20.0,0.0,8.0,-15.101270379723381
train,20260624.0,20.0,1.0,0.0,-5.325124391070864
train,20260624.0,20.0,1.0,1.0,-7.612514094430685
train,20260624.0,20.0,1.0,2.0,-9.997999418832366
train,20260624.0,20.0,1.0,3.0,-11.320854539732657
train,20260624.0,20.0,1.0,4.0,-12.528802597627617
train,20260624.0,20.0,1.0,5.0,-13.206772951698076
train,20260624.0,20.0,1.0,6.0,-13.410292888229273
train,20260624.0,20.0,1.0,7.0,-13.545352073176327
train,20260624.0,20.0,1.0,8.0,-13.577330466879733
test,20260624.0,20.0,0.0,0.0,-5.803036069372585
test,20260624.0,20.0,0.0,1.0,-7.933787872453431
test,20260624.0,20.0,0.0,2.0,-10.74507549141887
test,20260624.0,20.0,0.0,3.0,-12.232741125809138
test,20260624.0,20.0,0.0,4.0,-14.538044101739015
test,20260624.0,20.0,0.0,5.0,-15.464108319636821
test,20260624.0,20.0,0.0,6.0,-15.936675396047956
test,20260624.0,20.0,0.0,7.0,-16.199605450482558
test,20260624.0,20.0,0.0,8.0,-16.297954034995186
