seed,snr_db,sample_index,selected_threshold_db,gate_depth,gate_nmse_db,fixed_depth_nmse_db,gate_gap_vs_fixed_db,gate_depth_savings_percent
20260624.0,10.0,0.0,0.5,6.0,-14.241069456128885,-14.564012819614618,0.3229433634857326,25.0
20260624.0,10.0,1.0,0.5,6.0,-13.656853938946792,-13.875745743107561,0.21889180416076925,25.0
20260624.0,20.0,0.0,0.75,5.0,-14.04205358839015,-14.717870202586056,0.6758166141959059,37.5
20260624.0,20.0,1.0,0.75,5.0,-12.403220632597957,-12.759666268756488,0.3564456361585311,37.5
20260624.0,30.0,0.0,0.5,7.0,-18.45349121960638,-18.61170731833113,0.1582160987247505,12.5
20260624.0,30.0,1.0,0.5,6.0,-14.830626429714204,-15.163248241968141,0.3326218122539366,25.0
20260625.0,10.0,0.0,0.75,5.0,-15.330023909170944,-16.226008818609845,0.8959849094389014,37.5
20260625.0,10.0,1.0,0.75,5.0,-13.722410740301035,-14.193318512301802,0.4709077720007677,37.5
20260625.0,20.0,0.0,0.75,5.0,-13.956623685877522,-14.504892216819387,0.5482685309418649,37.5
20260625.0,20.0,1.0,0.75,6.0,-14.070888722969721,-14.312171534719663,0.24128281174994193,25.0
20260625.0,30.0,0.0,0.5,6.0,-15.227468646788854,-15.564372245297056,0.3369035985082025,25.0
20260625.0,30.0,1.0,0.5,6.0,-16.482678285167328,-16.954831708923287,0.4721534237559588,25.0
