seed,snr_db,policy,selected_threshold_db,test_mean_depth,test_mean_depth_savings_percent,test_min_depth_savings_percent,test_mean_nmse_gap_db,test_max_nmse_gap_db,passes_mean_gate
20260624.0,10.0,standard_train,1.0,5.5,31.25,25.0,0.6245970781556593,0.8921982511812523,0.0
20260624.0,10.0,guarded_train,0.35,7.0,12.5,12.5,0.11412635186637043,0.12240058400098519,0.0
20260624.0,10.0,test_oracle_frontier,0.75,6.0,25.0,25.0,0.3562471809785581,0.3569959051300664,1.0
20260624.0,20.0,standard_train,1.0,6.5,18.75,0.0,0.2758115575402815,0.551623115080563,0.0
20260624.0,20.0,guarded_train,0.5,7.0,12.5,0.0,0.10468845675913574,0.20937691351827148,0.0
20260624.0,20.0,test_oracle_frontier,0.005,8.0,0.0,0.0,0.0,0.0,0.0
20260624.0,30.0,standard_train,0.5,6.0,25.0,25.0,0.2440243822236674,0.2977184172563909,1.0
20260624.0,30.0,guarded_train,0.35,7.0,12.5,12.5,0.10480595054248631,0.10598554167353136,0.0
20260624.0,30.0,test_oracle_frontier,1.0,5.5,31.25,25.0,0.45544848325961595,0.613178549262841,1.0
20260625.0,10.0,standard_train,1.0,5.5,31.25,25.0,0.6691004690661329,0.7146722151569413,0.0
20260625.0,10.0,guarded_train,0.35,7.5,6.25,0.0,0.04125553624834133,0.08251107249668266,0.0
20260625.0,10.0,test_oracle_frontier,0.005,8.0,0.0,0.0,0.0,0.0,0.0
20260625.0,20.0,standard_train,0.5,7.0,12.5,12.5,0.1535394085137689,0.18808191024756837,0.0
20260625.0,20.0,guarded_train,0.5,7.0,12.5,12.5,0.1535394085137689,0.18808191024756837,0.0
20260625.0,20.0,test_oracle_frontier,0.005,8.0,0.0,0.0,0.0,0.0,0.0
20260625.0,30.0,standard_train,0.75,6.0,25.0,25.0,0.3442196774444728,0.4319453017663051,1.0
20260625.0,30.0,guarded_train,0.5,6.0,25.0,25.0,0.3442196774444728,0.4319453017663051,1.0
20260625.0,30.0,test_oracle_frontier,0.5,6.0,25.0,25.0,0.3442196774444728,0.4319453017663051,1.0
