seed,snr_db,split,threshold_db,mean_depth,mean_depth_savings_percent,min_depth_savings_percent,mean_nmse_gap_db,max_nmse_gap_db
20260624.0,10.0,train,0.005,8.0,0.0,0.0,0.0,0.0
20260624.0,10.0,train,0.01,8.0,0.0,0.0,0.0,0.0
20260624.0,10.0,train,0.02,8.0,0.0,0.0,0.0,0.0
20260624.0,10.0,train,0.035,8.0,0.0,0.0,0.0,0.0
20260624.0,10.0,train,0.05,8.0,0.0,0.0,0.0,0.0
20260624.0,10.0,train,0.075,8.0,0.0,0.0,0.0,0.0
20260624.0,10.0,train,0.1,8.0,0.0,0.0,0.0,0.0
20260624.0,10.0,train,0.15,8.0,0.0,0.0,0.0,0.0
20260624.0,10.0,train,0.2,7.5,6.25,0.0,0.029791876410987683,0.059583752821975366
20260624.0,10.0,train,0.25,7.0,12.5,12.5,0.0844551271174101,0.10932650141284483
20260624.0,10.0,train,0.35,6.0,25.0,25.0,0.29184212900731765,0.34673849180194516
20260624.0,10.0,train,0.5,6.0,25.0,25.0,0.29184212900731765,0.34673849180194516
20260624.0,10.0,train,0.75,6.0,25.0,25.0,0.29184212900731765,0.34673849180194516
20260624.0,10.0,train,1.0,5.5,31.25,25.0,0.4396944292113103,0.5326503666206754
20260624.0,10.0,test,0.005,8.0,0.0,0.0,0.0,0.0
20260624.0,10.0,test,0.01,8.0,0.0,0.0,0.0,0.0
20260624.0,10.0,test,0.02,8.0,0.0,0.0,0.0,0.0
20260624.0,10.0,test,0.035,8.0,0.0,0.0,0.0,0.0
20260624.0,10.0,test,0.05,8.0,0.0,0.0,0.0,0.0
20260624.0,10.0,test,0.075,8.0,0.0,0.0,0.0,0.0
20260624.0,10.0,test,0.1,8.0,0.0,0.0,0.0,0.0
20260624.0,10.0,test,0.15,8.0,0.0,0.0,0.0,0.0
20260624.0,10.0,test,0.2,8.0,0.0,0.0,0.0,0.0
20260624.0,10.0,test,0.25,7.5,6.25,0.0,0.061200292000492595,0.12240058400098519
20260624.0,10.0,test,0.35,7.0,12.5,12.5,0.11412635186637043,0.12240058400098519
20260624.0,10.0,test,0.5,6.5,18.75,12.5,0.2396982445655258,0.3569959051300664
20260624.0,10.0,test,0.75,6.0,25.0,25.0,0.3562471809785581,0.3569959051300664
20260624.0,10.0,test,1.0,5.5,31.25,25.0,0.6245970781556593,0.8921982511812523
20260624.0,20.0,train,0.005,8.0,0.0,0.0,0.0,0.0
20260624.0,20.0,train,0.01,8.0,0.0,0.0,0.0,0.0
20260624.0,20.0,train,0.02,8.0,0.0,0.0,0.0,0.0
20260624.0,20.0,train,0.035,8.0,0.0,0.0,0.0,0.0
20260624.0,20.0,train,0.05,8.0,0.0,0.0,0.0,0.0
