profile,sample_index,n_targets,clean_trained_alpha,oracle_alpha,grid_nmse_db,clean_alpha_nmse_db,oracle_alpha_nmse_db,degradation_vs_clean_db,oracle_recovery_db
clean,0.0,8.0,0.7999999999999999,0.7999999999999999,-4.834451968404292,-13.044032676273837,-13.044032676273837,-0.5794723469267176,0.0
clean,1.0,8.0,0.7999999999999999,0.7999999999999999,-7.602540930213899,-12.569509630394986,-12.569509630394986,-0.10494930104786704,0.0
clean,2.0,8.0,0.7999999999999999,0.7999999999999999,-4.359934078767453,-11.531655818985609,-11.531655818985609,0.9329045103615101,0.0
clean,3.0,8.0,0.7999999999999999,0.7999999999999999,-4.443809252646343,-11.461952436861695,-11.461952436861695,1.0026078924854236,0.0
clean,4.0,8.0,0.7999999999999999,0.7999999999999999,-6.4399067188656725,-13.715651084219477,-13.715651084219477,-1.251090754872358,0.0
phase_only_2deg,0.0,8.0,0.7999999999999999,0.7999999999999999,-4.834446597534704,-13.043981557162391,-13.043981557162391,-0.5794212278152724,0.0
phase_only_2deg,1.0,8.0,0.7999999999999999,0.7999999999999999,-7.602537471668882,-12.569478384659757,-12.569478384659757,-0.10491805531263765,0.0
phase_only_2deg,2.0,8.0,0.7999999999999999,0.7999999999999999,-4.359929934753999,-11.531634871445092,-11.531634871445092,0.9329254579020265,0.0
phase_only_2deg,3.0,8.0,0.7999999999999999,0.7999999999999999,-4.443806441296825,-11.461919471113575,-11.461919471113575,1.0026408582335442,0.0
phase_only_2deg,4.0,8.0,0.7999999999999999,0.7999999999999999,-6.439894300720034,-13.715606372024753,-13.715606372024753,-1.2510460426776344,0.0
iq_coupling_medium,0.0,8.0,0.7999999999999999,0.7999999999999999,-4.405452367787729,-9.332253754832324,-9.332253754832324,3.1323065745147947,0.0
iq_coupling_medium,1.0,8.0,0.7999999999999999,0.7999999999999999,-5.5324505076965735,-7.664669878564034,-7.664669878564034,4.799890450783085,0.0
iq_coupling_medium,2.0,8.0,0.7999999999999999,0.7999999999999999,-3.887867942715747,-9.06914818752377,-9.06914818752377,3.39541214182335,0.0
iq_coupling_medium,3.0,8.0,0.7999999999999999,0.7999999999999999,-2.966229659427139,-4.652178468532287,-4.652178468532287,7.812381860814832,0.0
iq_coupling_medium,4.0,8.0,0.7999999999999999,0.7999999999999999,-5.680146674865609,-9.385874631479219,-9.385874631479219,3.0786856978679005,0.0
combined_v23r,0.0,8.0,0.7999999999999999,0.7999999999999999,-4.4063035415915035,-9.336162873435658,-9.336162873435658,3.128397455911461,0.0
combined_v23r,1.0,8.0,0.7999999999999999,0.7999999999999999,-5.535674105855487,-7.6701481878447195,-7.6701481878447195,4.7944121415023995,0.0
combined_v23r,2.0,8.0,0.7999999999999999,0.7999999999999999,-3.8902350125613254,-9.079049094349848,-9.079049094349848,3.3855112349972707,0.0
combined_v23r,3.0,8.0,0.7999999999999999,0.7999999999999999,-2.9674766599803175,-4.654987941984585,-4.654987941984585,7.809572387362534,0.0
combined_v23r,4.0,8.0,0.7999999999999999,0.7999999999999999,-5.679826397258236,-9.384768085281447,-9.384768085281447,3.079792244065672,0.0
combined_high,0.0,8.0,0.7999999999999999,0.7999999999999999,-3.658769490896713,-7.34763641124548,-7.34763641124548,5.116923918101639,0.0
combined_high,1.0,8.0,0.7999999999999999,0.7999999999999999,-3.3143467670251465,-4.314544944529496,-4.314544944529496,8.150015384817623,0.0
combined_high,2.0,8.0,0.7999999999999999,0.7999999999999999,-3.241550480136701,-6.87039746376086,-6.87039746376086,5.594162865586259,0.0
combined_high,3.0,8.0,0.7999999999999999,0.7999999999999999,-2.13658480693037,-3.1350944647065426,-3.1350944647065426,9.329465864640577,0.0
combined_high,4.0,8.0,0.7999999999999999,0.7999999999999999,-4.798110181410982,-7.636883247221116,-7.636883247221116,4.827677082126003,0.0
