scene,sample_index,n_targets,snr_db,offset_radius,source_alpha,oracle_alpha,grid_nmse_db,source_alpha_nmse_db,oracle_alpha_nmse_db,gain_vs_grid_db,gap_vs_oracle_db
source_l8_snr20_offset035,0.0,8.0,20.0,0.35,0.7999999999999999,0.7999999999999999,-4.191889402346789,-12.145153775419617,-12.145153775419617,7.953264373072828,0.0
source_l8_snr20_offset035,1.0,8.0,20.0,0.35,0.7999999999999999,0.7999999999999999,-4.15944566664216,-10.746749633495547,-10.746749633495547,6.587303966853387,0.0
source_l8_snr20_offset035,2.0,8.0,20.0,0.35,0.7999999999999999,0.7999999999999999,-6.111041753946322,-14.6357635983008,-14.6357635983008,8.524721844354477,0.0
target_l8_snr10_offset035,0.0,8.0,10.0,0.35,0.7999999999999999,0.7999999999999999,-7.478303776906329,-12.510607942079318,-12.510607942079318,5.032304165172989,0.0
target_l8_snr10_offset035,1.0,8.0,10.0,0.35,0.7999999999999999,0.7999999999999999,-6.47590926083245,-11.87653644401758,-11.87653644401758,5.400627183185129,0.0
target_l8_snr10_offset035,2.0,8.0,10.0,0.35,0.7999999999999999,0.7999999999999999,-4.6604611487236,-11.778609035420642,-11.778609035420642,7.118147886697042,0.0
target_l8_snr20_offset045,0.0,8.0,20.0,0.45,0.7999999999999999,0.9999999999999999,-2.9630898082782546,-10.415709392260627,-11.672773342770084,7.452619583982372,1.2570639505094565
target_l8_snr20_offset045,1.0,8.0,20.0,0.45,0.7999999999999999,0.9999999999999999,-6.142396265758512,-13.283942457417417,-12.166457141895645,7.141546191658906,-1.1174853155217725
target_l8_snr20_offset045,2.0,8.0,20.0,0.45,0.7999999999999999,0.9999999999999999,-3.534347305591269,-11.060839516127107,-10.8711347365394,7.526492210535838,-0.18970477958770715
target_l16_snr20_offset035,0.0,16.0,20.0,0.35,0.7999999999999999,0.9999999999999999,-5.078137012932048,-11.389077512121448,-11.739334388260206,6.3109404991894,0.3502568761387579
target_l16_snr20_offset035,1.0,16.0,20.0,0.35,0.7999999999999999,0.9999999999999999,-4.962319916733578,-12.67002831052845,-13.207544495925001,7.707708393794872,0.5375161853965515
target_l16_snr20_offset035,2.0,16.0,20.0,0.35,0.7999999999999999,0.9999999999999999,-5.082917383614514,-11.439298878787143,-11.77462659291886,6.35638149517263,0.3353277141317168
