profile,seed,snr_db,l_value,sample_index,component_index,delay_resolution_ns,spatial_resolution,gate_pass,grid_delay_error_bins,grid_projected_spatial_error_bins,candan_delay_error_bins,candan_projected_spatial_error_bins,gated_candan_delay_error_bins,gated_candan_projected_spatial_error_bins
A,20260628,0.0,4,0,0,130.20833333333334,0.25,1,0.3091200051130727,0.0390625,0.10983544019150313,0.017176728277478404,0.10983544019150313,0.017176728277478404
A,20260628,0.0,4,0,1,130.20833333333334,0.25,1,1.2932992174464812,0.01171875,0.7932992174464712,0.19003508935243474,0.7932992174464712,0.19003508935243474
A,20260628,0.0,4,0,2,130.20833333333334,0.25,1,0.5493376172817079,0.1533203125,0.049337617281707956,0.11093058609192674,0.049337617281707956,0.11093058609192674
A,20260628,0.0,4,0,3,130.20833333333334,0.25,1,0.5424896294716747,1.5546875,0.04248962947167463,1.3149210608784925,0.04248962947167463,1.3149210608784925
A,20260628,0.0,4,1,0,130.20833333333334,0.25,1,0.3091200051130727,0.111328125,0.19087999488692733,0.009428754068501632,0.19087999488692733,0.009428754068501632
A,20260628,0.0,4,1,1,130.20833333333334,0.25,1,1.2932992174464812,0.0791015625,0.04834251184550452,0.04899921945783792,0.04834251184550452,0.04899921945783792
A,20260628,0.0,4,1,2,130.20833333333334,0.25,1,0.5493376172817079,0.23828125,1.049337617281708,0.1870545114943578,1.049337617281708,0.1870545114943578
A,20260628,0.0,4,1,3,130.20833333333334,0.25,1,1.4149375925189815,1.67578125,1.0850624074810153,1.3234934023509979,1.0850624074810153,1.3234934023509979
A,20260628,0.0,4,2,0,130.20833333333334,0.25,1,0.29329921744647436,0.623046875,0.09077044550242874,0.1590668103856938,0.09077044550242874,0.1590668103856938
A,20260628,0.0,4,2,1,130.20833333333334,0.25,1,0.5493376172817079,0.517578125,0.049337617281707956,0.4658904059583433,0.049337617281707956,0.4658904059583433
A,20260628,0.0,4,2,2,130.20833333333334,0.25,1,0.3091200051130727,0.3232421875,0.055900897435897455,0.07682875270238476,0.055900897435897455,0.07682875270238476
A,20260628,0.0,4,2,3,130.20833333333334,0.25,1,0.3540479883668013,0.662109375,0.011039678576580062,1.162109375,0.011039678576580062,1.162109375
A,20260628,0.0,4,3,0,130.20833333333334,0.25,1,0.29329921744647436,1.3984375,0.2635074756662518,1.0508051654223518,0.2635074756662518,1.0508051654223518
A,20260628,0.0,4,3,1,130.20833333333334,0.25,1,0.3091200051130727,0.59375,0.06734828468324137,0.11214919648339361,0.06734828468324137,0.11214919648339361
A,20260628,0.0,4,3,2,130.20833333333334,0.25,1,0.5493376172817079,1.130859375,0.02447007673598023,1.1559655573535546,0.02447007673598023,1.1559655573535546
A,20260628,0.0,4,3,3,130.20833333333334,0.25,1,0.4149375925189816,0.5869140625,0.08506240748101843,0.0869140625,0.08506240748101843,0.0869140625
A,20260628,0.0,4,4,0,130.20833333333334,0.25,1,0.29329921744647436,0.2236328125,0.224137223168114,0.2763671875,0.224137223168114,0.2763671875
A,20260628,0.0,4,4,1,130.20833333333334,0.25,1,1.549337617281708,0.306640625,0.049337617281707956,0.028631374183611058,0.049337617281707956,0.028631374183611058
A,20260628,0.0,4,4,2,130.20833333333334,0.25,1,0.6908799948869273,0.134765625,0.09239833914594442,0.06965666787627,0.09239833914594442,0.06965666787627
A,20260628,0.0,4,4,3,130.20833333333334,0.25,1,0.3540479883668013,1.2890625,2.1459520116331987,1.479775610362744,2.1459520116331987,1.479775610362744
A,20260628,0.0,4,5,0,130.20833333333334,0.25,1,0.29329921744647436,0.1748046875,0.2470087240066832,0.0022140502077530044,0.2470087240066832,0.0022140502077530044
A,20260628,0.0,4,5,1,130.20833333333334,0.25,1,0.6908799948869273,0.4091796875,0.19087999488692733,0.0908203125,0.19087999488692733,0.0908203125
A,20260628,0.0,4,5,2,130.20833333333334,0.25,1,1.549337617281708,0.08984375,1.049337617281708,0.1996970106431064,1.049337617281708,0.1996970106431064
A,20260628,0.0,4,5,3,130.20833333333334,0.25,1,0.5850624074810185,0.5791015625,0.345023810686051,0.9125276189035691,0.345023810686051,0.9125276189035691
A,20260628,0.0,4,6,0,130.20833333333334,0.25,1,0.3091200051130727,0.03125,0.19087999488692733,0.048968843722764,0.19087999488692733,0.048968843722764
A,20260628,0.0,4,6,1,130.20833333333334,0.25,1,1.2932992174464812,0.033203125,0.7932992174464712,0.04214306400353962,0.7932992174464712,0.04214306400353962
A,20260628,0.0,4,6,2,130.20833333333334,0.25,1,0.5493376172817079,0.466796875,0.14479790179992588,0.4246045792659139,0.14479790179992588,0.4246045792659139
A,20260628,0.0,4,6,3,130.20833333333334,0.25,1,0.5424896294716747,1.634765625,0.04248962947167463,1.6479623382910757,0.04248962947167463,1.6479623382910757
A,20260628,0.0,4,7,0,130.20833333333334,0.25,1,1.2932992174464812,0.0517578125,0.7932992174464712,0.10038202944982366,0.7932992174464712,0.10038202944982366
A,20260628,0.0,4,7,1,130.20833333333334,0.25,1,1.549337617281708,0.119140625,1.049337617281708,0.34480513416713165,1.049337617281708,0.34480513416713165
A,20260628,0.0,4,7,2,130.20833333333334,0.25,1,0.3091200051130727,0.1767578125,0.19087999488692733,0.21941082158713954,0.19087999488692733,0.21941082158713954
A,20260628,0.0,4,7,3,130.20833333333334,0.25,1,0.6459520116331987,1.720703125,0.017573708759847748,1.6702922618111726,0.017573708759847748,1.6702922618111726
A,20260628,0.0,4,8,0,130.20833333333334,0.25,1,1.2932992174464812,0.21484375,0.7932992174464712,0.014888549985276,0.7932992174464712,0.014888549985276
A,20260628,0.0,4,8,1,130.20833333333334,0.25,1,0.3091200051130727,0.107421875,0.038604678671532604,0.09046590059995196,0.038604678671532604,0.09046590059995196
A,20260628,0.0,4,8,2,130.20833333333334,0.25,1,0.5493376172817079,0.123046875,0.049337617281707956,0.1002814877524898,0.049337617281707956,0.1002814877524898
A,20260628,0.0,4,8,3,130.20833333333334,0.25,1,7.4149375925189815,1.6328125,7.620293914780646,1.4719917388825472,7.620293914780646,1.4719917388825472
A,20260628,0.0,4,9,0,130.20833333333334,0.25,1,0.29329921744647436,0.8046875,0.0032951418533997624,0.3046875,0.0032951418533997624,0.3046875
A,20260628,0.0,4,9,1,130.20833333333334,0.25,1,0.3091200051130727,0.15234375,0.012664163571926663,0.4881888819807112,0.012664163571926663,0.4881888819807112
A,20260628,0.0,4,9,2,130.20833333333334,0.25,1,0.5493376172817079,0.115234375,0.049337617281707956,0.384765625,0.049337617281707956,0.384765625
A,20260628,0.0,4,9,3,130.20833333333334,0.25,1,0.5424896294716747,1.58984375,1.0424896294716743,1.91015625,1.0424896294716743,1.91015625
A,20260628,0.0,4,10,0,130.20833333333334,0.25,1,0.3091200051130727,0.03125,0.06633785052676444,0.4562829027267741,0.06633785052676444,0.4562829027267741
A,20260628,0.0,4,10,1,130.20833333333334,0.25,1,1.2932992174464812,0.4345703125,0.7932992174464712,0.7536852661035476,0.7932992174464712,0.7536852661035476
A,20260628,0.0,4,10,2,130.20833333333334,0.25,1,0.5493376172817079,0.0234375,0.049337617281707956,0.4765625,0.049337617281707956,0.4765625
A,20260628,0.0,4,10,3,130.20833333333334,0.25,1,1.4575103705283254,0.580078125,1.1001870597352266,1.080078125,1.1001870597352266,1.080078125
A,20260628,0.0,4,11,0,130.20833333333334,0.25,1,0.3091200051130727,0.1162109375,0.0547319141197491,0.07216313882524084,0.0547319141197491,0.07216313882524084
A,20260628,0.0,4,11,1,130.20833333333334,0.25,1,1.2932992174464812,0.1904296875,0.7932992174464712,0.3095703125,0.7932992174464712,0.3095703125
A,20260628,0.0,4,11,2,130.20833333333334,0.25,1,0.5493376172817079,0.0166015625,0.049337617281707956,0.030283890047331674,0.049337617281707956,0.030283890047331674
A,20260628,0.0,4,11,3,130.20833333333334,0.25,1,0.4149375925189816,0.619140625,0.08506240748101843,1.119140625,0.08506240748101843,1.119140625
A,20260628,0.0,4,12,0,130.20833333333334,0.25,1,0.5493376172817079,0.2919921875,0.049337617281707956,0.11684557763922232,0.049337617281707956,0.11684557763922232
A,20260628,0.0,4,12,1,130.20833333333334,0.25,1,0.3091200051130727,0.0458984375,0.09453048975029077,0.09895288162396909,0.09453048975029077,0.09895288162396909
A,20260628,0.0,4,12,2,130.20833333333334,0.25,1,1.2932992174464812,0.126953125,0.7932992174464712,0.14540017335451516,0.7932992174464712,0.14540017335451516
A,20260628,0.0,4,12,3,130.20833333333334,0.25,1,0.5151743607711978,1.296875,0.1795908648802964,1.796875,0.1795908648802964,1.796875
