profile,seed,snr_db,l_value,sample_index,grid_channel_nmse_db,candan_channel_nmse_db,candan_gain_vs_grid_db,candan_residual_reduction_fraction,gate_pass,candan_minimum_zeta,candan_mean_zeta,candan_clipping_rate,grid_delay_rmse_bins,grid_delay_rmse_ns,grid_projected_spatial_rmse_bins,grid_projected_spatial_rmse,grid_joint_quarter_bin_hit,grid_joint_tenth_bin_hit,grid_delay_quarter_bin_hit,grid_spatial_quarter_bin_hit,grid_delay_tenth_bin_hit,grid_spatial_tenth_bin_hit,grid_median_delay_error_bins,grid_median_projected_spatial_error_bins,grid_median_coordinate_error_bins,candan_delay_rmse_bins,gated_candan_delay_rmse_bins,candan_delay_rmse_ns,gated_candan_delay_rmse_ns,candan_projected_spatial_rmse_bins,gated_candan_projected_spatial_rmse_bins,candan_projected_spatial_rmse,gated_candan_projected_spatial_rmse,candan_joint_quarter_bin_hit,gated_candan_joint_quarter_bin_hit,candan_joint_tenth_bin_hit,gated_candan_joint_tenth_bin_hit,candan_delay_quarter_bin_hit,gated_candan_delay_quarter_bin_hit,candan_spatial_quarter_bin_hit,gated_candan_spatial_quarter_bin_hit,candan_delay_tenth_bin_hit,gated_candan_delay_tenth_bin_hit,candan_spatial_tenth_bin_hit,gated_candan_spatial_tenth_bin_hit,candan_median_delay_error_bins,gated_candan_median_delay_error_bins,candan_median_projected_spatial_error_bins,gated_candan_median_projected_spatial_error_bins,candan_median_coordinate_error_bins,gated_candan_median_coordinate_error_bins
A,20260628,0.0,4,0,-9.111543483191411,-14.040436065974601,4.92889258278319,0.06715096313506247,1,0.26313701711193244,0.693561989493084,0.375,0.7688050564437395,100.1048250577786,0.7813807568799541,0.19534518921998853,0.0,0.0,0.0,0.75,0.0,0.5,0.5459136233766912,0.09619140625,0.9318423060139864,0.4017546021562546,0.4017546021562546,52.31179715576232,52.31179715576232,0.666657964486292,0.666657964486292,0.166664491121573,0.166664491121573,0.5,0.5,0.0,0.0,0.75,0.75,0.75,0.75,0.5,0.5,0.25,0.25,0.07958652873660554,0.07958652873660554,0.15048283772218074,0.15048283772218074,0.4685753842270415,0.4685753842270415
A,20260628,0.0,4,1,-8.360263239420213,-12.406582915753827,4.046319676333614,0.04690308904882634,1,0.32779492036137603,0.6972548353438824,0.375,1.0089596438774129,131.37495362987147,0.8490688665472139,0.21226721663680348,0.0,0.0,0.0,0.75,0.0,0.25,0.9213184173640946,0.1748046875,0.9472531227787213,0.7611245026391076,0.7611245026391076,99.10475294780048,99.10475294780048,0.6687888308815748,0.6687888308815748,0.1671972077203937,0.1671972077203937,0.5,0.5,0.25,0.25,0.5,0.5,0.75,0.75,0.25,0.25,0.5,0.5,0.6201088060843176,0.6201088060843176,0.11802686547609786,0.11802686547609786,0.62849604632853,0.62849604632853
A,20260628,0.0,4,2,-5.728438559993723,-17.334499096690422,11.606060536696699,0.11451012943724515,1,0.2450695946870487,0.669542741872881,0.25,0.39009659199457997,50.7938270826276,0.5474826162008382,0.13687065405020954,0.0,0.0,0.0,0.0,0.0,0.0,0.331583996739937,0.5703125,0.7197279112841177,0.0589920738170786,0.0589920738170786,7.681259611598777,7.681259611598777,0.6322098103547198,0.6322098103547198,0.15805245258867995,0.15805245258867995,0.5,0.5,0.25,0.25,1.0,1.0,0.5,0.5,1.0,1.0,0.25,0.25,0.052619257358802705,0.052619257358802705,0.31247860817201856,0.31247860817201856,0.32581949582418895,0.32581949582418895
A,20260628,0.0,4,3,-4.4643332565636165,-10.492441798457392,6.028108541893776,0.1445851859273246,1,0.3792365447461902,0.6846086242638397,0.25,0.40482237832227513,52.711247177379576,0.9913976934979088,0.2478494233744772,0.0,0.0,0.0,0.0,0.0,0.0,0.3620287988160271,0.8623046875,0.9880013378628651,0.14300907226790438,0.14300907226790438,18.62097295155005,18.62097295155005,0.7843116985609316,0.7843116985609316,0.1960779246402329,0.1960779246402329,0.5,0.5,0.25,0.25,0.75,0.75,0.5,0.5,0.75,0.75,0.25,0.25,0.0762053460821299,0.0762053460821299,0.5814771809528727,0.5814771809528727,0.6070792709511651,0.6070792709511651
A,20260628,0.0,4,4,-7.900130211371951,-14.99742455093498,7.097294339563029,0.05105647482527098,1,0.23736893033346754,0.6591782528699431,0.375,0.8787969942882733,114.42669196461893,0.6752562495665889,0.16881406239164723,0.0,0.0,0.0,0.5,0.0,0.0,0.5224639916268643,0.26513671875,1.0203502158888322,1.0800832357506123,1.0800832357506123,140.63583798836098,140.63583798836098,0.7536223335196414,0.7536223335196414,0.18840558337991034,0.18840558337991034,0.5,0.5,0.5,0.5,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.15826778115702922,0.15826778115702922,0.173011927688135,0.173011927688135,0.23577244634556876,0.23577244634556876
A,20260628,0.0,4,5,-4.467118846916137,-11.702966954108456,7.235848107192319,0.11077590475934163,1,0.17893265781887976,0.6598449530482117,0.375,0.9091320959108912,118.3765749883973,0.3679046121410325,0.09197615303525812,0.0,0.0,0.0,0.5,0.0,0.25,0.6379712011839729,0.2919921875,0.8130790230098532,0.5739336519072172,0.5739336519072172,74.73094425875225,74.73094425875225,0.46926505902915105,0.46926505902915105,0.11731626475728776,0.11731626475728776,0.5,0.5,0.0,0.0,0.5,0.5,0.75,0.75,0.0,0.0,0.5,0.5,0.2960162673463671,0.2960162673463671,0.1452586615715532,0.1452586615715532,0.6112972088469389,0.6112972088469389
A,20260628,0.0,4,6,-10.860251257221353,-17.7171349566663,6.856883699444946,0.03576566388294822,1,0.19872429143346415,0.7044076992431988,0.375,0.7688050564437395,100.1048250577786,0.850358304069698,0.2125895760174245,0.0,0.0,0.0,0.5,0.0,0.5,0.5459136233766912,0.25,1.0073037791248347,0.4148887265965172,0.4148887265965172,54.021969608921516,54.021969608921516,0.8515049768877637,0.8515049768877637,0.21287624422194093,0.21287624422194093,0.25,0.25,0.0,0.0,0.75,0.75,0.5,0.5,0.25,0.25,0.5,0.5,0.1678389483434266,0.1678389483434266,0.23678671149433894,0.23678671149433894,0.6215164492899029,0.6215164492899029
A,20260628,0.0,4,7,-8.50377131843674,-11.713557213771711,3.2097858953349707,0.04282069711589509,1,0.3047841491920961,0.7004986237855497,0.375,1.0707332881098266,139.41839688930034,0.8673142349149942,0.21682855872874854,0.0,0.0,0.0,0.75,0.0,0.25,0.96962561453984,0.14794921875,1.4241230833249703,0.6646760660523375,0.6646760660523375,86.54636276723146,86.54636276723146,0.8612468404703012,0.8612468404703012,0.2153117101175753,0.2153117101175753,0.25,0.25,0.0,0.0,0.5,0.5,0.5,0.5,0.25,0.25,0.0,0.0,0.4920896061666993,0.4920896061666993,0.2821079778771356,0.2821079778771356,0.952080573025788,0.952080573025788
A,20260628,0.0,4,8,-7.369026918027121,-13.38126294966665,6.01223603163953,0.07861301373639001,1,0.41477848368581055,0.7395128092595621,0.25,3.776613872310774,491.74659795713205,0.8274833064397876,0.2068708266099469,0.0,0.0,0.0,0.75,0.0,0.0,0.9213184173640946,0.1689453125,0.9369862288621273,3.830865682771275,3.830865682771275,498.8106357775098,498.8106357775098,0.7391247872004332,0.7391247872004332,0.1847811968001083,0.1847811968001083,0.5,0.5,0.25,0.25,0.5,0.5,0.75,0.75,0.5,0.5,0.5,0.5,0.4213184173640896,0.4213184173640896,0.09537369417622088,0.09537369417622088,0.45260008481742275,0.45260008481742275
A,20260628,0.0,4,9,-6.438214316189134,-11.997260754869178,5.559046438680044,0.05439155088366521,1,0.13399025923043448,0.5374607940430424,0.625,0.4409213150781212,57.411629567463706,0.8960486456404049,0.22401216141010122,0.0,0.0,0.0,0.5,0.0,0.0,0.4258048172923737,0.478515625,0.7088835397262634,0.5218692525513061,0.5218692525513061,67.95172559261799,67.95172559261799,1.0158622375526036,1.0158622375526036,0.2539655593881509,0.2539655593881509,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.75,0.75,0.0,0.0,0.03100089042681731,0.03100089042681731,0.4364772534903556,0.4364772534903556,0.43813453435063593,0.43813453435063593
