zeta_bin,zeta_low,zeta_high,scene_count,beneficial_probability,mean_clean_gain_db,median_candan_coordinate_error_bins,mean_clipping_rate,any_clipping_probability,gate_pass_rate
1,0.0008847998286124571,0.03389991907354096,899,0.9432703003337041,9.04918625583933,1.2457950706079868,0.4950987208008899,1.0,0.9432703003337041
2,0.03389991907354096,0.06372402840700334,900,0.9333333333333333,7.237697568832405,1.155545057888936,0.465,1.0,0.9166666666666666
3,0.06372402840700334,0.09467372918670071,901,0.8668146503884573,6.192290194091673,0.9765836000793765,0.43465593784683687,1.0,0.8512763596004439
4,0.09467372918670071,0.1340785550501912,900,0.8344444444444444,5.264308761657809,0.9547828397072202,0.41458333333333336,1.0,0.7977777777777778
5,0.1340785550501912,0.19173668588170378,900,0.7944444444444444,3.889366911533409,0.8478461250996188,0.37777777777777777,0.9988888888888889,0.74
6,0.19173668588170378,0.24508405424464727,900,0.83,4.176983176214187,0.7157977078686565,0.35899305555555555,0.9977777777777778,0.7911111111111111
7,0.24508405424464727,0.30469546010438897,900,0.8577777777777778,4.171356071786631,0.6626436102754879,0.32354166666666667,0.9855555555555555,0.8055555555555556
8,0.30469546010438897,0.3974262913243275,900,0.81,4.852560243920453,0.607427839998486,0.2902430555555556,0.9766666666666667,0.7811111111111111
9,0.3974262913243275,0.5500212394639261,900,0.7244444444444444,3.8080308231197066,0.6359194848083414,0.24993055555555554,0.9266666666666666,0.7355555555555555
10,0.5500212394639261,0.9088063073850573,900,0.8088888888888889,2.7446048963612957,0.4307949408223051,0.24506944444444445,0.89,0.8111111111111111
