split,seed,separation_bins,dynamic_range_db,snr_db,sample_index,pair_axis,grid_nmse_db,candan_nmse_db,candan_gain_vs_grid_db,grid_per_component_hit,candan_per_component_hit,grid_designated_pair_assignment,candan_designated_pair_assignment,grid_strict_recovery,candan_strict_recovery,grid_strong_hit,candan_strong_hit,grid_weak_hit,candan_weak_hit,grid_all_target_hit,candan_all_target_hit,grid_mean_coordinate_error_bins,candan_mean_coordinate_error_bins,candan_residual_reduction_fraction,candan_minimum_zeta,candan_mean_zeta,candan_clipping_rate,candan_any_clipping,gate_pass,gated_candan_gain_vs_grid_db,gated_candan_per_component_hit,gated_candan_designated_pair_assignment,gated_candan_strict_recovery,gated_candan_strong_hit,gated_candan_weak_hit,gated_candan_all_target_hit,gated_candan_mean_coordinate_error_bins
validation,20260820,0.25,0.0,0.0,0,0,-1.9940948656087754,-4.621941223349535,2.6278463577407596,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.777923121389689,9.612215880140361,0.14172184114898156,0.7863636292637969,0.8488226458989204,0.16666666666666666,1.0,1,2.6278463577407596,0.25,0.0,0.0,0.0,0.0,0.0,9.612215880140361
validation,20260820,0.25,0.0,0.0,1,1,-2.1713847689526338,-17.74264706242681,15.571262293474174,0.5,0.75,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.2326459191292523,1.0631123412725099,0.293856680938238,0.7974664239736012,0.86587106743334,0.08333333333333333,1.0,1,15.571262293474174,0.75,0.0,0.0,1.0,0.0,0.0,1.0631123412725099
validation,20260820,0.25,0.0,0.0,2,2,-3.207687254412323,-31.61380159123539,28.406114336823066,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2333872729054091,0.02074163073381108,0.23962372017183142,0.7960465737280618,0.8639941752114182,0.08333333333333333,1.0,1,28.406114336823066,1.0,1.0,0.0,1.0,1.0,1.0,0.02074163073381108
validation,20260820,0.25,0.0,0.0,3,0,-5.153786809536434,-10.10227351323121,4.948486703694777,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.296157629008881,14.30596682143568,0.103361036504941,0.8153956629068198,0.8662483514693431,0.16666666666666666,1.0,1,4.948486703694777,0.25,0.0,0.0,0.0,0.0,0.0,14.30596682143568
validation,20260820,0.25,0.0,0.0,4,1,-6.23676163461157,-10.122154881955261,3.885393247343691,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.686922140428099,7.685933075477362,0.06950917935687573,0.8020848101273641,0.9143671758828233,0.16666666666666666,1.0,1,3.885393247343691,0.5,0.0,0.0,0.0,0.0,0.0,7.685933075477362
validation,20260820,0.25,0.0,10.0,0,0,-3.564519137807606,-34.79045048863484,31.22593135082723,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2326222496051944,0.017639738640978047,0.40054090663278186,0.784087578048326,0.8667299804817444,0.08333333333333333,1.0,1,31.22593135082723,1.0,1.0,0.0,1.0,1.0,1.0,0.017639738640978047
validation,20260820,0.25,0.0,10.0,1,1,-4.10354360702413,-24.5495705152136,20.44602690818947,0.75,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.2884948983812124,0.04308481425635372,0.3502811831173148,0.7995869236416814,0.8546727091545397,0.08333333333333333,1.0,1,20.44602690818947,1.0,1.0,0.0,1.0,1.0,1.0,0.04308481425635372
validation,20260820,0.25,0.0,10.0,2,2,-1.8330326077197698,-8.382936727854505,6.549904120134735,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.225563391880252,10.02630835099525,0.4646311008716981,0.79676002058502,0.8165906555358929,0.16666666666666666,1.0,1,6.549904120134735,0.25,0.0,0.0,0.0,0.0,0.0,10.02630835099525
validation,20260820,0.25,0.0,10.0,3,0,-3.2947679365847033,-34.36931169623647,31.074543759651768,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.23953570407425673,0.013044082970514811,0.4254114521085761,0.7738946061068537,0.8580722989534726,0.08333333333333333,1.0,1,31.074543759651768,1.0,1.0,0.0,1.0,1.0,1.0,0.013044082970514811
validation,20260820,0.25,0.0,10.0,4,1,-2.600209823903494,-24.251585234066578,21.651375410163084,0.75,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.2760239098957708,0.022616267786095712,0.49679002411106854,0.8002851361419475,0.8598708557700104,0.08333333333333333,1.0,1,21.651375410163084,1.0,1.0,0.0,1.0,1.0,1.0,0.022616267786095712
validation,20260820,0.25,0.0,20.0,0,0,-4.698839910810765,-32.36349510256999,27.664655191759227,0.75,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.24978098222795322,0.024663274639503463,0.33518806664338513,0.8040330364091152,0.8701061063208216,0.08333333333333333,1.0,1,27.664655191759227,1.0,1.0,0.0,1.0,1.0,1.0,0.024663274639503463
validation,20260820,0.25,0.0,20.0,1,1,-3.8014960959877926,-15.904476772724518,12.102980676736726,0.75,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.23460687013229156,0.028978279440284638,0.38677546652734707,0.79693568542499,0.8695127584630703,0.08333333333333333,1.0,1,12.102980676736726,1.0,1.0,0.0,1.0,1.0,1.0,0.028978279440284638
validation,20260820,0.25,0.0,20.0,2,2,-4.1898436040764135,-7.043259276903765,2.853415672827351,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.090079019907141,7.077137751855585,0.18173003460654302,0.8017061895934572,0.8698026165985907,0.16666666666666666,1.0,1,2.853415672827351,0.5,0.0,0.0,0.0,1.0,0.0,7.077137751855585
validation,20260820,0.25,0.0,20.0,3,0,-2.534456727253611,-35.87848001189886,33.344023284645246,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26343969214448215,0.015811205773795873,0.5516056949570606,0.7905433338868249,0.8555667457357762,0.08333333333333333,1.0,1,33.344023284645246,1.0,1.0,0.0,1.0,1.0,1.0,0.015811205773795873
validation,20260820,0.25,0.0,20.0,4,1,-4.973248937121355,-21.768930656123967,16.795681719002612,0.75,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.21428881637841032,0.02895569503973457,0.30816782192268233,0.7984304716362537,0.8910015580732091,0.08333333333333333,1.0,1,16.795681719002612,1.0,1.0,0.0,1.0,1.0,1.0,0.02895569503973457
validation,20260820,0.25,0.0,30.0,0,0,-2.328131429738018,-6.387681870188983,4.059550440450964,0.5,0.75,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,5.586195338165517,5.444463101844623,0.35496917251417326,0.7995530952580433,0.8300331034624987,0.16666666666666666,1.0,1,4.059550440450964,0.75,1.0,0.0,1.0,1.0,0.0,5.444463101844623
validation,20260820,0.25,0.0,30.0,1,1,-3.399220736823996,-7.473578225699465,4.074357488875469,0.25,0.75,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.744280585031744,3.6295619980180494,0.27797748436973496,0.8056384252881398,0.862852468010549,0.16666666666666666,1.0,1,4.074357488875469,0.75,1.0,1.0,1.0,1.0,0.0,3.6295619980180494
validation,20260820,0.25,0.0,30.0,2,2,-3.8823713722654736,-39.98184156240442,36.099470190138945,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20924399269856941,0.012665025002732477,0.40861226605576234,0.7533088538804146,0.8658723910604419,0.0,0.0,1,36.099470190138945,1.0,1.0,0.0,1.0,1.0,1.0,0.012665025002732477
validation,20260820,0.25,0.0,30.0,3,0,-3.5565883670788505,-11.440068441053675,7.883480073974825,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.301001017297462,6.226645595732354,0.3687055987713193,0.728789325113998,0.8516130069770593,0.08333333333333333,1.0,1,7.883480073974825,0.5,0.0,0.0,0.0,1.0,0.0,6.226645595732354
validation,20260820,0.25,0.0,30.0,4,1,-4.033519372376887,-12.185828976817469,8.152309604440582,0.75,0.75,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0353334469203688,2.9282852098434398,0.33405086472569834,0.7395761187327223,0.8559266778573829,0.08333333333333333,1.0,1,8.152309604440582,0.75,0.0,0.0,1.0,0.0,0.0,2.9282852098434398
validation,20260820,0.25,10.0,0.0,0,0,-2.9841494513451416,-7.731944789417595,4.747795338072454,0.25,0.75,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.234509327823526,3.0624006964055703,0.16501723448394623,0.7782261700404601,0.8541913796659207,0.16666666666666666,1.0,1,4.747795338072454,0.75,1.0,0.0,1.0,1.0,0.0,3.0624006964055703
validation,20260820,0.25,10.0,0.0,1,1,-1.853770305751793,-21.388251065612415,19.53448075986062,0.75,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.33122066973730835,0.035927232011023026,0.32161474377036214,0.8028137332984995,0.8312669970157535,0.08333333333333333,1.0,1,19.53448075986062,1.0,1.0,0.0,1.0,1.0,1.0,0.035927232011023026
