zeta_bin,zeta_low,zeta_high,scene_count,beneficial_probability,mean_clean_gain_db,median_coordinate_error_bins,mean_clipping_rate,any_clipping_probability,gate_pass_rate
1,0.17517263402483854,0.675834763530383,120,1.0,9.452352668408293,0.1268536409995676,0.0875,0.6833333333333333,1.0
2,0.675834763530383,0.7662869024507994,120,1.0,9.40137981482393,2.326910943264916,0.10625,0.8416666666666667,1.0
3,0.7662869024507994,0.7913404791558376,120,1.0,10.321042444226444,3.2913646492665416,0.12083333333333333,0.925,1.0
4,0.7913404791558376,0.7971288205025717,120,1.0,9.998868209989743,3.7590662427199915,0.13472222222222224,0.9416666666666667,1.0
5,0.7971288205025717,0.7986938323738951,120,1.0,10.928167180458285,2.7608724091227357,0.13472222222222222,0.9833333333333333,1.0
6,0.7986938323738951,0.7999594224158076,120,1.0,10.649227936011942,3.172196852438511,0.125,0.9333333333333333,1.0
7,0.7999594224158076,0.8013697239638414,120,1.0,11.741290666385185,3.0117292247865906,0.12361111111111113,0.9083333333333333,1.0
8,0.8013697239638414,0.8037292965521049,120,1.0,11.462348358222293,2.7644572503084923,0.11875,0.8916666666666667,1.0
9,0.8037292965521049,0.8093477838602409,120,1.0,11.025801518039911,3.0304290458439187,0.12222222222222223,0.875,1.0
10,0.8093477838602409,0.8514805864883696,120,1.0,9.611891090399922,3.4020737148155744,0.13541666666666666,0.9666666666666667,1.0
