domain,profile,outcome,scene_count,spearman_rho,two_sided_p_value
controlled_stress,All,clean_gain_db,1200,0.03643290030062521,0.20724540858197293
controlled_stress,All,coordinate_error_bins,1200,0.08466480185055685,0.0033345159466836257
controlled_stress,All,clipping_rate,1200,0.15620570182985513,5.360928745921241e-08
CDL,A,clean_gain_db,3000,-0.14594550544977464,9.474480708887056e-16
CDL,A,coordinate_error_bins,3000,-0.5593362306050951,1.4096869463131226e-246
CDL,A,clipping_rate,3000,-0.5249692332398491,3.6076351432818257e-212
CDL,C,clean_gain_db,3000,-0.03229213832855499,0.0769878203292481
CDL,C,coordinate_error_bins,3000,-0.6409713683263902,0.0
CDL,C,clipping_rate,3000,-0.5081356744805332,1.0361306440957946e-196
CDL,D,clean_gain_db,3000,0.21611142486296156,4.877882894275535e-33
CDL,D,coordinate_error_bins,3000,-0.04002631895182236,0.02835809423686398
CDL,D,clipping_rate,3000,-0.5060185525626951,7.92139152291404e-195
CDL,All,clean_gain_db,9000,-0.28440317348128286,4.688085852616207e-167
CDL,All,coordinate_error_bins,9000,-0.3087995864568476,4.22053407437371e-198
CDL,All,clipping_rate,9000,-0.5795746601249786,0.0
