split,seed,snr_db,n_targets,sample_index,truth_index,axis,method,absolute_true_offset,offset_bucket,absolute_bin_error,half_bin_axis_hit,candidate_axis_correct
validation,20260808,0.0,2,0,0,angle,grid_fft_topL_joint_ls,0.013744216081928107,"[0.00,0.10)",33.01374421608193,0.0,nan
validation,20260808,0.0,2,0,0,delay,grid_fft_topL_joint_ls,0.03323198399052629,"[0.00,0.10)",3.9667680160094747,0.0,nan
validation,20260808,0.0,2,0,0,doppler,grid_fft_topL_joint_ls,0.1486897644173324,"[0.10,0.20)",11.851310235582666,0.0,nan
validation,20260808,0.0,2,0,1,angle,grid_fft_topL_joint_ls,0.39220987663705953,"[0.30,0.40)",0.39220987663705387,1.0,nan
validation,20260808,0.0,2,0,1,delay,grid_fft_topL_joint_ls,0.12550448114091184,"[0.10,0.20)",0.1255044811409114,1.0,nan
validation,20260808,0.0,2,0,1,doppler,grid_fft_topL_joint_ls,0.13627363037366214,"[0.10,0.20)",0.1362736303736618,1.0,nan
validation,20260808,0.0,2,0,0,angle,axiswise_quadratic_peak_joint_ls,0.013744216081928107,"[0.00,0.10)",33.01374421608193,0.0,nan
validation,20260808,0.0,2,0,0,delay,axiswise_quadratic_peak_joint_ls,0.03323198399052629,"[0.00,0.10)",3.9691049258894395,0.0,nan
validation,20260808,0.0,2,0,0,doppler,axiswise_quadratic_peak_joint_ls,0.1486897644173324,"[0.10,0.20)",11.85426657359752,0.0,nan
validation,20260808,0.0,2,0,1,angle,axiswise_quadratic_peak_joint_ls,0.39220987663705953,"[0.30,0.40)",0.2810421894443209,1.0,nan
validation,20260808,0.0,2,0,1,delay,axiswise_quadratic_peak_joint_ls,0.12550448114091184,"[0.10,0.20)",0.12304597534556194,1.0,nan
validation,20260808,0.0,2,0,1,doppler,axiswise_quadratic_peak_joint_ls,0.13627363037366214,"[0.10,0.20)",0.13327283136477241,1.0,nan
validation,20260808,0.0,2,0,0,angle,axiswise_candan_joint_ls,0.013744216081928107,"[0.00,0.10)",33.51374421608193,0.0,nan
validation,20260808,0.0,2,0,0,delay,axiswise_candan_joint_ls,0.03323198399052629,"[0.00,0.10)",4.095245842169458,0.0,nan
validation,20260808,0.0,2,0,0,doppler,axiswise_candan_joint_ls,0.1486897644173324,"[0.10,0.20)",11.986567180151255,0.0,nan
validation,20260808,0.0,2,0,1,angle,axiswise_candan_joint_ls,0.39220987663705953,"[0.30,0.40)",0.0034760860189635423,1.0,nan
validation,20260808,0.0,2,0,1,delay,axiswise_candan_joint_ls,0.12550448114091184,"[0.10,0.20)",0.005452245818680979,1.0,nan
validation,20260808,0.0,2,0,1,doppler,axiswise_candan_joint_ls,0.13627363037366214,"[0.10,0.20)",0.0011987897310206108,1.0,nan
validation,20260808,0.0,2,0,0,angle,one_step_fixed_support_newton_joint_ls,0.013744216081928107,"[0.00,0.10)",33.01374421608193,0.0,nan
validation,20260808,0.0,2,0,0,delay,one_step_fixed_support_newton_joint_ls,0.03323198399052629,"[0.00,0.10)",3.9667680160094747,0.0,nan
validation,20260808,0.0,2,0,0,doppler,one_step_fixed_support_newton_joint_ls,0.1486897644173324,"[0.10,0.20)",11.851310235582666,0.0,nan
validation,20260808,0.0,2,0,1,angle,one_step_fixed_support_newton_joint_ls,0.39220987663705953,"[0.30,0.40)",0.39220987663705387,1.0,nan
validation,20260808,0.0,2,0,1,delay,one_step_fixed_support_newton_joint_ls,0.12550448114091184,"[0.10,0.20)",0.1255044811409114,1.0,nan
validation,20260808,0.0,2,0,1,doppler,one_step_fixed_support_newton_joint_ls,0.13627363037366214,"[0.10,0.20)",0.1362736303736618,1.0,nan
validation,20260808,0.0,2,0,0,angle,cartesian_local_joint_ls,0.013744216081928107,"[0.00,0.10)",33.46374421608192,0.0,0.0
validation,20260808,0.0,2,0,0,delay,cartesian_local_joint_ls,0.03323198399052629,"[0.00,0.10)",4.191768016009473,0.0,0.0
validation,20260808,0.0,2,0,0,doppler,cartesian_local_joint_ls,0.1486897644173324,"[0.10,0.20)",12.076310235582667,0.0,0.0
validation,20260808,0.0,2,0,1,angle,cartesian_local_joint_ls,0.39220987663705953,"[0.30,0.40)",0.057790123362948975,1.0,1.0
validation,20260808,0.0,2,0,1,delay,cartesian_local_joint_ls,0.12550448114091184,"[0.10,0.20)",0.09949551885908825,1.0,1.0
validation,20260808,0.0,2,0,1,doppler,cartesian_local_joint_ls,0.13627363037366214,"[0.10,0.20)",0.08872636962633607,1.0,1.0
validation,20260808,0.0,2,1,0,angle,grid_fft_topL_joint_ls,0.12577364361137938,"[0.10,0.20)",0.12577364361138166,1.0,nan
validation,20260808,0.0,2,1,0,delay,grid_fft_topL_joint_ls,0.2784489915778254,"[0.20,0.30)",0.2784489915778252,1.0,nan
validation,20260808,0.0,2,1,0,doppler,grid_fft_topL_joint_ls,0.2969119384019807,"[0.20,0.30)",0.7030880615980202,0.0,nan
validation,20260808,0.0,2,1,1,angle,grid_fft_topL_joint_ls,0.39784261768682105,"[0.30,0.40)",32.60215738231318,0.0,nan
validation,20260808,0.0,2,1,1,delay,grid_fft_topL_joint_ls,0.0820601873373068,"[0.00,0.10)",0.0820601873373068,1.0,nan
validation,20260808,0.0,2,1,1,doppler,grid_fft_topL_joint_ls,0.19595348777123867,"[0.10,0.20)",13.804046512228762,0.0,nan
validation,20260808,0.0,2,1,0,angle,axiswise_quadratic_peak_joint_ls,0.12577364361137938,"[0.10,0.20)",0.12350787349794246,1.0,nan
validation,20260808,0.0,2,1,0,delay,axiswise_quadratic_peak_joint_ls,0.2784489915778254,"[0.20,0.30)",0.25150272787412753,1.0,nan
validation,20260808,0.0,2,1,0,doppler,axiswise_quadratic_peak_joint_ls,0.2969119384019807,"[0.20,0.30)",0.7030880615980202,0.0,nan
validation,20260808,0.0,2,1,1,angle,axiswise_quadratic_peak_joint_ls,0.39784261768682105,"[0.30,0.40)",32.59960998843944,0.0,nan
validation,20260808,0.0,2,1,1,delay,axiswise_quadratic_peak_joint_ls,0.0820601873373068,"[0.00,0.10)",0.10987234012181268,1.0,nan
validation,20260808,0.0,2,1,1,doppler,axiswise_quadratic_peak_joint_ls,0.19595348777123867,"[0.10,0.20)",13.837248457796363,0.0,nan
validation,20260808,0.0,2,1,0,angle,axiswise_candan_joint_ls,0.12577364361137938,"[0.10,0.20)",0.001839773324988414,1.0,nan
validation,20260808,0.0,2,1,0,delay,axiswise_candan_joint_ls,0.2784489915778254,"[0.20,0.30)",0.00016954932534041234,1.0,nan
validation,20260808,0.0,2,1,0,doppler,axiswise_candan_joint_ls,0.2969119384019807,"[0.20,0.30)",0.20308806159802018,1.0,nan
validation,20260808,0.0,2,1,1,angle,axiswise_candan_joint_ls,0.39784261768682105,"[0.30,0.40)",32.474463236015424,0.0,nan
validation,20260808,0.0,2,1,1,delay,axiswise_candan_joint_ls,0.0820601873373068,"[0.00,0.10)",0.35876064126562035,1.0,nan
validation,20260808,0.0,2,1,1,doppler,axiswise_candan_joint_ls,0.19595348777123867,"[0.10,0.20)",14.096964802671877,0.0,nan
validation,20260808,0.0,2,1,0,angle,one_step_fixed_support_newton_joint_ls,0.12577364361137938,"[0.10,0.20)",0.12577364361138166,1.0,nan
validation,20260808,0.0,2,1,0,delay,one_step_fixed_support_newton_joint_ls,0.2784489915778254,"[0.20,0.30)",0.2784489915778252,1.0,nan
validation,20260808,0.0,2,1,0,doppler,one_step_fixed_support_newton_joint_ls,0.2969119384019807,"[0.20,0.30)",0.7030880615980202,0.0,nan
validation,20260808,0.0,2,1,1,angle,one_step_fixed_support_newton_joint_ls,0.39784261768682105,"[0.30,0.40)",32.60215738231318,0.0,nan
validation,20260808,0.0,2,1,1,delay,one_step_fixed_support_newton_joint_ls,0.0820601873373068,"[0.00,0.10)",0.0820601873373068,1.0,nan
validation,20260808,0.0,2,1,1,doppler,one_step_fixed_support_newton_joint_ls,0.19595348777123867,"[0.10,0.20)",13.804046512228762,0.0,nan
validation,20260808,0.0,2,1,0,angle,cartesian_local_joint_ls,0.12577364361137938,"[0.10,0.20)",0.09922635638861266,1.0,1.0
validation,20260808,0.0,2,1,0,delay,cartesian_local_joint_ls,0.2784489915778254,"[0.20,0.30)",0.053448991577825566,1.0,1.0
validation,20260808,0.0,2,1,0,doppler,cartesian_local_joint_ls,0.2969119384019807,"[0.20,0.30)",0.2530880615980209,1.0,1.0
validation,20260808,0.0,2,1,1,angle,cartesian_local_joint_ls,0.39784261768682105,"[0.30,0.40)",32.377157382313186,0.0,0.0
validation,20260808,0.0,2,1,1,delay,cartesian_local_joint_ls,0.0820601873373068,"[0.00,0.10)",0.30706018733730644,1.0,0.0
validation,20260808,0.0,2,1,1,doppler,cartesian_local_joint_ls,0.19595348777123867,"[0.10,0.20)",14.02904651222876,0.0,0.0
validation,20260808,0.0,2,2,0,angle,grid_fft_topL_joint_ls,0.1503372376100781,"[0.10,0.20)",0.15033723761007423,1.0,nan
validation,20260808,0.0,2,2,0,delay,grid_fft_topL_joint_ls,0.07821626301016249,"[0.00,0.10)",0.07821626301016238,1.0,nan
validation,20260808,0.0,2,2,0,doppler,grid_fft_topL_joint_ls,0.06774277898263381,"[0.00,0.10)",0.06774277898263392,1.0,nan
validation,20260808,0.0,2,2,1,angle,grid_fft_topL_joint_ls,0.012763994874020912,"[0.00,0.10)",0.012763994874021023,1.0,nan
validation,20260808,0.0,2,2,1,delay,grid_fft_topL_joint_ls,0.3472160191754071,"[0.30,0.40)",0.34721601917540745,1.0,nan
validation,20260808,0.0,2,2,1,doppler,grid_fft_topL_joint_ls,0.20905767655543162,"[0.20,0.30)",0.20905767655543173,1.0,nan
validation,20260808,0.0,2,2,0,angle,axiswise_quadratic_peak_joint_ls,0.1503372376100781,"[0.10,0.20)",0.14746749837610196,1.0,nan
validation,20260808,0.0,2,2,0,delay,axiswise_quadratic_peak_joint_ls,0.07821626301016249,"[0.00,0.10)",0.07808371097458089,1.0,nan
validation,20260808,0.0,2,2,0,doppler,axiswise_quadratic_peak_joint_ls,0.06774277898263381,"[0.00,0.10)",0.06720457804219393,1.0,nan
validation,20260808,0.0,2,2,1,angle,axiswise_quadratic_peak_joint_ls,0.012763994874020912,"[0.00,0.10)",0.012787487239677375,1.0,nan
validation,20260808,0.0,2,2,1,delay,axiswise_quadratic_peak_joint_ls,0.3472160191754071,"[0.30,0.40)",0.28552785829208105,1.0,nan
validation,20260808,0.0,2,2,1,doppler,axiswise_quadratic_peak_joint_ls,0.20905767655543162,"[0.20,0.30)",0.198321589694757,1.0,nan
validation,20260808,0.0,2,2,0,angle,axiswise_candan_joint_ls,0.1503372376100781,"[0.10,0.20)",0.0033100011605284863,1.0,nan
validation,20260808,0.0,2,2,0,delay,axiswise_candan_joint_ls,0.07821626301016249,"[0.00,0.10)",0.001826646640846974,1.0,nan
validation,20260808,0.0,2,2,0,doppler,axiswise_candan_joint_ls,0.06774277898263381,"[0.00,0.10)",0.002327185265254883,1.0,nan
validation,20260808,0.0,2,2,1,angle,axiswise_candan_joint_ls,0.012763994874020912,"[0.00,0.10)",0.00032848098202009623,1.0,nan
validation,20260808,0.0,2,2,1,delay,axiswise_candan_joint_ls,0.3472160191754071,"[0.30,0.40)",0.0037409259456673283,1.0,nan
validation,20260808,0.0,2,2,1,doppler,axiswise_candan_joint_ls,0.20905767655543162,"[0.20,0.30)",0.0002540385717146876,1.0,nan
validation,20260808,0.0,2,2,0,angle,one_step_fixed_support_newton_joint_ls,0.1503372376100781,"[0.10,0.20)",0.03374251385514526,1.0,nan
validation,20260808,0.0,2,2,0,delay,one_step_fixed_support_newton_joint_ls,0.07821626301016249,"[0.00,0.10)",0.024968626586961307,1.0,nan
validation,20260808,0.0,2,2,0,doppler,one_step_fixed_support_newton_joint_ls,0.06774277898263381,"[0.00,0.10)",0.023112583903007078,1.0,nan
validation,20260808,0.0,2,2,1,angle,one_step_fixed_support_newton_joint_ls,0.012763994874020912,"[0.00,0.10)",0.012763994874021023,1.0,nan
validation,20260808,0.0,2,2,1,delay,one_step_fixed_support_newton_joint_ls,0.3472160191754071,"[0.30,0.40)",0.34721601917540745,1.0,nan
