split,seed,snr_db,n_targets,sample_index,search_radius,measurement_nmse_db,gain_vs_grid_db,per_component_half_bin_hit,harmful_update,candidate_axis_correctness,boundary_saturation_rate,minimum_candidate_margin
validation,20260808,0.0,2,0,0.25,-17.097976235841664,11.388100322170633,0.5,0.0,0.5,0.3333333333333333,0.04055254103437415
validation,20260808,0.0,2,0,0.35,-15.856651638447566,10.146775724776536,0.5,0.0,0.5,0.3333333333333333,0.04413621889908708
validation,20260808,0.0,2,0,0.45,-11.597051277555845,5.887175363884816,0.5,0.0,0.5,0.3333333333333333,0.020932660157285427
validation,20260808,0.0,2,0,0.5,-8.69253445138527,2.982658537714241,0.5,0.0,0.5,0.3333333333333333,0.002876017529146591
validation,20260808,0.0,2,0,0.55,-11.732490835517353,6.022614921846324,0.5,0.0,0.3333333333333333,0.16666666666666666,0.0003921998900521843
validation,20260808,0.0,2,1,0.25,-16.73192240261543,12.438215488484897,0.5,0.0,0.5,0.6666666666666666,0.04828931380639712
validation,20260808,0.0,2,1,0.35,-13.728716911161296,9.435009997030761,0.5,0.0,0.5,0.6666666666666666,0.016533175177492438
validation,20260808,0.0,2,1,0.45,-12.32264003446872,8.028933120338184,0.5,0.0,0.5,0.16666666666666666,0.020610144338448197
validation,20260808,0.0,2,1,0.5,-11.603241932519147,7.309535018388611,0.5,0.0,0.5,0.16666666666666666,0.002728348070715582
validation,20260808,0.0,2,1,0.55,-11.693773334159294,7.400066420028758,0.5,0.0,0.5,0.16666666666666666,0.01819724779030774
validation,20260808,0.0,2,2,0.25,-15.352265992095397,9.903505524508862,1.0,0.0,1.0,0.3333333333333333,0.0076896677880656855
validation,20260808,0.0,2,2,0.35,-17.316021240223694,11.86726077263716,1.0,0.0,1.0,0.16666666666666666,0.0077549001683417315
validation,20260808,0.0,2,2,0.45,-13.68160845872069,8.232847991134156,1.0,0.0,1.0,0.16666666666666666,0.012675230754771805
validation,20260808,0.0,2,2,0.5,-13.066408001404808,7.617647533818273,1.0,0.0,1.0,0.0,0.038077599764837405
validation,20260808,0.0,2,2,0.55,-12.66227457483226,7.213514107245725,1.0,0.0,1.0,0.0,0.0195414302142678
validation,20260808,0.0,2,3,0.25,-9.361712129937024,6.93078295442444,1.0,0.0,1.0,0.6666666666666666,0.0127735579571459
validation,20260808,0.0,2,3,0.35,-15.591870221283289,13.160941045770706,1.0,0.0,1.0,0.5,0.025078568831566457
validation,20260808,0.0,2,3,0.45,-15.556919551772717,13.125990376260134,1.0,0.0,1.0,0.5,0.04654638012801692
validation,20260808,0.0,2,3,0.5,-11.864498125622207,9.433568950109624,1.0,0.0,1.0,0.3333333333333333,0.009471020873504004
validation,20260808,0.0,2,3,0.55,-10.68064624297187,8.249717067459287,1.0,0.0,1.0,0.16666666666666666,0.039877309043825304
validation,20260808,0.0,2,4,0.25,-9.543147150489268,5.713195636522513,1.0,0.0,1.0,0.3333333333333333,0.005920400681590214
validation,20260808,0.0,2,4,0.35,-13.989785436783716,10.159833922816961,1.0,0.0,1.0,0.16666666666666666,0.049013193180583364
validation,20260808,0.0,2,4,0.45,-17.49896014047628,13.669008626509527,1.0,0.0,1.0,0.16666666666666666,0.04032299308377801
validation,20260808,0.0,2,4,0.5,-15.511881536679681,11.681930022712926,1.0,0.0,1.0,0.16666666666666666,0.024844175956245287
validation,20260808,0.0,2,4,0.55,-12.800741767775358,8.970790253808602,1.0,0.0,1.0,0.16666666666666666,0.004960513001071771
validation,20260808,0.0,2,5,0.25,-14.748897494778273,10.652466598525162,1.0,0.0,1.0,0.5,0.01879806893945284
validation,20260808,0.0,2,5,0.35,-17.639014577334493,13.542583681081382,1.0,0.0,1.0,0.3333333333333333,0.03928070004865021
validation,20260808,0.0,2,5,0.45,-13.83388293781099,9.73745204155788,1.0,0.0,1.0,0.16666666666666666,0.01355645310900859
validation,20260808,0.0,2,5,0.5,-12.503370269650855,8.406939373397744,1.0,0.0,1.0,0.16666666666666666,0.005433932690335713
validation,20260808,0.0,2,5,0.55,-12.97187978808569,8.87544889183258,1.0,0.0,1.0,0.0,0.02835599300802001
validation,20260808,0.0,2,6,0.25,-4.765111257277827,2.712243068277118,0.5,0.0,0.6666666666666666,0.6666666666666666,0.009198929662657366
validation,20260808,0.0,2,6,0.35,-5.160441855204202,3.1075736662034936,0.5,0.0,0.6666666666666666,0.6666666666666666,0.04149805228682512
validation,20260808,0.0,2,6,0.45,-4.892629547938685,2.8397613589379764,0.5,0.0,0.6666666666666666,0.6666666666666666,0.027967181227821887
validation,20260808,0.0,2,6,0.5,-4.802521699463017,2.7496535104623083,0.5,0.0,0.5,0.16666666666666666,0.011163248622218524
validation,20260808,0.0,2,6,0.55,-4.947338036712878,2.8944698477121698,0.5,0.0,0.5,0.16666666666666666,0.07752437543820198
validation,20260808,0.0,2,7,0.25,-15.452115457250876,11.391351287148728,1.0,0.0,1.0,0.5,0.011826583664010343
validation,20260808,0.0,2,7,0.35,-14.944983703835845,10.884219533733697,1.0,0.0,1.0,0.16666666666666666,0.001984541492543656
validation,20260808,0.0,2,7,0.45,-14.806667235818082,10.745903065715934,1.0,0.0,1.0,0.16666666666666666,0.03234557816260063
validation,20260808,0.0,2,7,0.5,-13.353257935972886,9.292493765870738,1.0,0.0,1.0,0.0,0.01380617083557556
validation,20260808,0.0,2,7,0.55,-13.366335797543684,9.305571627441536,1.0,0.0,1.0,0.0,0.06323686529295515
validation,20260808,0.0,2,8,0.25,-11.809875543860386,7.1470715059501115,0.5,0.0,0.5,0.3333333333333333,0.024209327135861602
validation,20260808,0.0,2,8,0.35,-12.618935685066328,7.956131647156053,0.5,0.0,0.5,0.3333333333333333,0.07129490065336265
