stratum_type,stratum,scene_count,mean_q_sup,mean_local_gain_vs_grid_db,local_harmful_update_rate,mean_gated_gain_vs_grid_db,gate_pass_rate,mean_local_per_component_hit
coarse_support_quality,q_sup=0.000,145,0.0,5.051813081685717,0.0,5.051813081685717,1.0,0.4603448275862069
coarse_support_quality,q_sup=0.125,16,0.125,5.116236229164307,0.0,5.116236229164307,1.0,0.3984375
coarse_support_quality,q_sup=0.250,161,0.25,5.104345464002441,0.0,5.104345464002441,1.0,0.4673913043478261
coarse_support_quality,q_sup=0.375,86,0.375,5.401867991896568,0.0,5.401867991896568,1.0,0.5334302325581395
coarse_support_quality,q_sup=0.500,372,0.5,5.807467730534499,0.0,5.807467730534499,1.0,0.5971102150537635
coarse_support_quality,q_sup=0.625,58,0.625,5.989974733665498,0.0,5.989974733665498,1.0,0.6853448275862069
coarse_support_quality,q_sup=0.750,135,0.75,6.5718582727452475,0.0,6.5718582727452475,1.0,0.75
coarse_support_quality,q_sup=0.875,11,0.875,7.845196555962755,0.0,7.845196555962755,1.0,0.875
coarse_support_quality,q_sup=1.000,216,1.0,10.954664842598048,0.0,10.938082141158166,0.9907407407407407,1.0
duplicate_neighborhood,none,216,1.0,10.954664842598048,0.0,10.938082141158166,0.9907407407407407,1.0
duplicate_neighborhood,present,984,0.4142530487804878,5.672792177607913,0.0,5.672792177607913,1.0,0.5762195121951219
coarse_condition_quartile,Q1,711,0.5457102672292545,7.042592520114647,0.0,7.037554737398732,0.9971870604781997,0.679676511954993
coarse_condition_quartile,Q3,234,0.4877136752136752,6.056458228920539,0.0,6.056458228920539,1.0,0.6201923076923077
coarse_condition_quartile,Q4,255,0.4764705882352941,5.97545333881743,0.0,5.97545333881743,1.0,0.6063725490196078
