scene,seed,snr_db,n_targets,explicit_delta,projection_delta,qr_projection_delta,explicit_projection_abs_error,prediction_qr_abs_energy_error,projection_qr_abs_error
0,20260630,0.0,2,0.05350708778718383,0.05350708778718402,0.053507087787191154,1.942890293094024e-16,3.469446951953614e-15,7.13318293321663e-15
1,20260630,0.0,2,0.1153134203383882,0.11531342033838721,0.1153134203383978,9.992007221626409e-16,6.128431095930864e-14,1.058875209736243e-14
2,20260630,0.0,2,0.2212798230641545,0.2212798230641545,0.22127982306415858,0.0,2.609024107869118e-15,4.08006961549745e-15
3,20260630,0.0,2,0.21589221239106038,0.2158922123910625,0.21589221239106207,2.1094237467877974e-15,3.552713678800501e-15,4.163336342344337e-16
4,20260630,0.0,2,0.07462980554648657,0.07462980554648604,0.07462980554647515,5.273559366969494e-16,5.1514348342607263e-14,1.0894063429134349e-14
5,20260630,0.0,2,0.1870130765384922,0.1870130765384914,0.18701307653848823,8.049116928532385e-16,2.0872192862952943e-14,3.164135620181696e-15
6,20260630,0.0,2,0.09959687356661695,0.09959687356661863,0.09959687356662128,1.6792123247455493e-15,1.0658141036401503e-14,2.6506574712925612e-15
7,20260630,0.0,2,0.21820700860381154,0.21820700860381376,0.218207008603808,2.220446049250313e-15,1.3988810110276972e-14,5.745404152435185e-15
8,20260630,0.0,2,0.17589542810445347,0.17589542810445438,0.1758954281044486,9.159339953157541e-16,4.707345624410664e-14,5.773159728050814e-15
9,20260630,0.0,2,0.16882226427281039,0.1688222642728129,0.16882226427281563,2.525757381022231e-15,1.1546319456101628e-14,2.7200464103316335e-15
10,20260630,0.0,2,0.1410721208459248,0.14107212084592485,0.14107212084591814,5.551115123125783e-17,8.659739592076221e-15,6.716849298982197e-15
11,20260630,0.0,2,0.1016463978359834,0.10164639783598124,0.10164639783598263,2.1510571102112408e-15,3.3306690738754696e-15,1.3877787807814457e-15
12,20260630,0.0,2,0.08689673308886425,0.0868967330888635,0.08689673308886316,7.494005416219807e-16,1.7763568394002505e-15,3.469446951953614e-16
