split,seed,separation_bins,dynamic_range_db,snr_db,sample_index,pair_axis,component_index,component_role,theory_ratio,theory_condition_satisfied,noiseless_candidate_gap,interference_envelope,noise_envelope,candidate_axis_correctness,candidate_all_axis_correct,grid_half_bin_hit,candan_half_bin_hit,local_half_bin_hit
validation,20260820,0.25,0.0,0.0,0,0,0,strong_pair,1.5394964136950187e-05,0.0,3.1107092577362496e-05,0.9895892785494266,0.020711632210764212,0.6666666666666666,0.0,0.0,0.0,0.0
validation,20260820,0.25,0.0,0.0,0,0,1,weak_pair,9.523935953358165e-07,0.0,1.8950164890256613e-06,0.9741588175204068,0.020711632210764212,0.6666666666666666,0.0,0.0,0.0,0.0
validation,20260820,0.25,0.0,0.0,0,0,2,nuisance,8.047990967691278e-05,0.0,0.00016333318266246143,0.9940334347144086,0.020711632210764212,0.0,0.0,0.0,0.0,0.0
validation,20260820,0.25,0.0,0.0,0,0,3,nuisance,1.094556982239865,1.0,0.04931133514873509,0.001814072685762059,0.020711632210764212,1.0,1.0,0.0,1.0,1.0
validation,20260820,0.25,0.0,0.0,1,1,0,strong_pair,8.241453321420434e-05,0.0,0.00016566372200270754,0.9799812897723306,0.02508247472251578,0.0,0.0,0.0,1.0,1.0
validation,20260820,0.25,0.0,0.0,1,1,1,weak_pair,0.0030368628876867444,0.0,0.005962600671636342,0.9566214895579076,0.02508247472251578,0.6666666666666666,0.0,1.0,0.0,0.0
validation,20260820,0.25,0.0,0.0,1,1,2,nuisance,0.14087746623031694,0.0,0.0070988278285044615,0.00011256895075263104,0.02508247472251578,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,0.0,1,1,3,nuisance,0.19916116770499018,0.0,0.014450739469690332,0.011196533972330952,0.02508247472251578,1.0,1.0,0.0,1.0,1.0
validation,20260820,0.25,0.0,0.0,2,2,0,strong_pair,0.011221126121845613,0.0,0.021203653099806652,0.9181147596482742,0.026694739396869203,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,0.0,2,2,1,weak_pair,0.0015647290215474445,0.0,0.0030711790281453544,0.9546825425008298,0.026694739396869203,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,0.0,2,2,2,nuisance,0.8059736555919347,0.0,0.043623580039380605,0.00036791937411876204,0.026694739396869203,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,0.0,2,2,3,nuisance,0.4961475815106151,0.0,0.026532192783653485,4.3466907463883185e-05,0.026694739396869203,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,0.0,3,0,0,strong_pair,4.5559588428990174e-05,0.0,9.018504888167822e-05,0.9721012482983705,0.017647035119969887,0.0,0.0,0.0,0.0,0.0
validation,20260820,0.25,0.0,0.0,3,0,1,weak_pair,7.271409101946478e-09,0.0,1.3215076474428435e-08,0.8910541732119132,0.017647035119969887,0.0,0.0,0.0,0.0,0.0
validation,20260820,0.25,0.0,0.0,3,0,2,nuisance,6.511086104935199e-07,0.0,1.1586154198122838e-06,0.872078120667856,0.017647035119969887,0.0,0.0,0.0,0.0,0.0
validation,20260820,0.25,0.0,0.0,3,0,3,nuisance,0.05364137278455759,0.0,0.0018971848649704803,3.693498077897438e-05,0.017647035119969887,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,0.0,4,1,0,strong_pair,6.579801128677945e-05,0.0,0.00013113104138482573,0.9788307973893458,0.017635804110914154,0.0,0.0,0.0,0.0,0.0
validation,20260820,0.25,0.0,0.0,4,1,1,weak_pair,8.744862420694467e-07,0.0,1.5283410778649562e-06,0.8562150378692758,0.017635804110914154,0.0,0.0,0.0,0.0,0.0
validation,20260820,0.25,0.0,0.0,4,1,2,nuisance,0.021699504057171828,0.0,0.001177141710296814,0.009487896670343124,0.017635804110914154,1.0,1.0,0.0,1.0,1.0
validation,20260820,0.25,0.0,0.0,4,1,3,nuisance,1.502263994712937,1.0,0.053617189832943835,0.00020965781243753384,0.017635804110914154,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,10.0,0,0,0,strong_pair,0.001828237841131378,0.0,0.0035220298632880898,0.9559141191910592,0.007316644348036407,1.0,1.0,1.0,1.0,1.0
