profile,snr_db,num_paths,delay_spread_ns,k_factor_db,kept_delay_taps,ls_nmse_db,delay_sparse_nmse_db,improvement_db,avg_runtime_s
CDL-A,0,12,45,-Inf,20,0.00932185689873509,-7.14766213322604,7.15698399012477,0.000522134375
CDL-A,5,12,45,-Inf,20,-5.00590634983731,-11.8636883350504,6.85778198521313,0.000178328125
CDL-A,10,12,45,-Inf,20,-10.0003433973932,-15.771364835007,5.77102143761379,0.000136459375
CDL-A,15,12,45,-Inf,20,-14.9946684477025,-17.751961456468,2.75729300876554,0.000142403125
CDL-A,20,12,45,-Inf,20,-19.9919224792493,-18.7138639843353,-1.27805849491399,0.000142403125
CDL-C,0,18,100,-Inf,20,0.00798257541807511,-6.92399503084476,6.93197760626283,0.0001434875
CDL-C,5,18,100,-Inf,20,-4.98672436109283,-10.6842839228966,5.69755956180376,0.000176075
CDL-C,10,18,100,-Inf,20,-10.0071725119924,-13.177127285386,3.16995477339358,0.000129390625
CDL-C,15,18,100,-Inf,20,-14.9852438418463,-13.9549591756464,-1.03028466619998,0.0001265125
CDL-C,20,18,100,-Inf,20,-20.0137989743863,-15.0812368300757,-4.93256214431061,0.00013699375
CDL-D,0,13,30,13.3,20,-0.00947950193430819,-7.07640655578224,7.06692705384793,0.00013274375
CDL-D,5,13,30,13.3,20,-5.02715677310529,-12.2080944250639,7.18093765195857,0.00014763125
CDL-D,10,13,30,13.3,20,-9.98352145650289,-17.091385544599,7.1078640880961,0.00013215
CDL-D,15,13,30,13.3,20,-15.0031301950815,-22.0351834756383,7.03205328055687,0.000142878125
CDL-D,20,13,30,13.3,20,-19.9753028415188,-26.5890064382506,6.61370359673187,0.000213640625
