scan_dim,rho,G_theta,G_tau,G_nu,dictionary_atoms,theta_rmse_grid_deg,theta_rmse_offgrid_deg,tau_rmse_grid_ns,tau_rmse_offgrid_ns,doppler_rmse_grid_hz,doppler_rmse_offgrid_hz,nmse_grid_db,nmse_offgrid_db,avg_runtime_s
theta,1,32,32,32,32768,1.02051082943881,0.00290081348956125,0.89731314790953,0.00370331310344673,10.7690312901892,0.0266704899061055,-5.64799739429512,-53.7567500262349,0.0187680916666667
theta,2,64,32,32,65536,0.596083047074178,0.00257391345238762,0.937784369988116,0.00270173795630905,10.0787779953783,0.0314325777799498,-7.77303858574589,-56.0548850847618,0.00940635833333333
theta,4,128,32,32,131072,0.298105881131835,0.0017556592184255,0.99767393729258,0.00291573527407707,9.34119560244815,0.0335714326219886,-8.85601653960561,-57.2048634705494,0.0110486958333333
theta,8,256,32,32,262144,0.130520422987496,0.00202199395518083,0.941202712497096,0.00267225766499576,9.8030933622568,0.0301170540489489,-9.54456314119434,-56.637609164896,0.0121469333333333
tau,1,64,16,32,32768,0.608464462235664,0.00196174708930761,1.72740561155363,0.00522173908481714,10.3410895038065,0.0235284108528389,-5.27642271557677,-53.8502701705262,0.008199375
tau,2,64,32,32,65536,0.536556516781767,0.00167045479307862,0.780081643815763,0.00268890824907213,9.0013495709437,0.0237002430978337,-8.82379851438609,-56.8095622302088,0.00878905833333333
tau,4,64,64,32,131072,0.530606205396608,0.00244155540268551,0.497997886801296,0.00289473654747526,8.51454691722217,0.0298231376598148,-10.2918305669208,-55.173611860044,0.0101562791666667
tau,8,64,128,32,262144,0.603232852047565,0.00241189986085198,0.251793141736213,0.00271373262345023,9.10889787202308,0.0195121998702424,-9.94827604090786,-55.6353879713958,0.0116067375
nu,1,64,32,16,32768,0.564026044902179,0.00180207857942509,1.00451776486217,0.00360225226222239,15.6559879249355,0.0507319045189507,-6.97787439828174,-53.5503488388908,0.00840197083333333
nu,2,64,32,32,65536,0.470546242120205,0.0028416420327064,0.950794546651806,0.0030852372399501,8.89916170796915,0.0304040638415068,-9.02031902346749,-54.9773188310461,0.0094855
nu,4,64,32,64,131072,0.564364002014318,0.00191079115598078,0.873081304767032,0.00302806295083698,4.53893896303916,0.0269051745037798,-9.76765002477603,-55.8642501398096,0.0102193583333333
nu,8,64,32,128,262144,0.584033061003822,0.0022129254793441,0.899988113948877,0.0034410550266597,2.51036129843804,0.03135770781827,-9.58506418492808,-54.6711740987748,0.0111616083333333
